año,ubigeo,departamento,provincia,distrito,organizacion_politica,tipo_agrupacion,posicion_cedula,votos,ganador,electores_habiles,votos_blancos,votos_nulos
2006,10202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,PARTIDO POLITICO,1,8.0,0,213.0,25.0,9.0
2006,10202,AMAZONAS,BAGUA,ARAMANGO,ACCION POPULAR,LISTA INDEPENDIENTE,2,28.0,0,213.0,25.0,9.0
2006,10202,AMAZONAS,BAGUA,ARAMANGO,UNION POR EL PERU,LISTA INDEPENDIENTE,3,1.0,0,213.0,25.0,9.0
2006,10202,AMAZONAS,BAGUA,ARAMANGO,ALIANZA PARA EL PROGRESO,LISTA INDEPENDIENTE,4,5.0,0,213.0,25.0,9.0
2006,10202,AMAZONAS,BAGUA,ARAMANGO,FUERZA DEMOCRATICA,LISTA INDEPENDIENTE,5,50.0,1,213.0,25.0,9.0
2006,10202,AMAZONAS,BAGUA,ARAMANGO,AGRUPACION INDEPENDIENTE SI CUMPLE,LISTA INDEPENDIENTE,6,6.0,0,213.0,25.0,9.0
2006,10202,AMAZONAS,BAGUA,ARAMANGO,PARTIDO APRISTA PERUANO,LISTA INDEPENDIENTE,7,47.0,0,213.0,25.0,9.0
2006,10202,AMAZONAS,BAGUA,ARAMANGO,PARTIDO NACIONALISTA PERUANO,LISTA INDEPENDIENTE,8,4.0,0,213.0,25.0,9.0
2006,10203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,PARTIDO POLITICO,1,69.0,1,217.0,9.0,3.0
2006,10203,AMAZONAS,BAGUA,COPALLIN,ACCION POPULAR,LISTA INDEPENDIENTE,2,34.0,0,217.0,9.0,3.0
2006,10203,AMAZONAS,BAGUA,COPALLIN,FUERZA DEMOCRATICA,LISTA INDEPENDIENTE,3,43.0,0,217.0,9.0,3.0
2006,10203,AMAZONAS,BAGUA,COPALLIN,PARTIDO APRISTA PERUANO,LISTA INDEPENDIENTE,4,29.0,0,217.0,9.0,3.0
2006,10203,AMAZONAS,BAGUA,COPALLIN,PARTIDO NACIONALISTA PERUANO,LISTA INDEPENDIENTE,5,4.0,0,217.0,9.0,3.0
2006,10204,AMAZONAS,BAGUA,EL PARCO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,PARTIDO POLITICO,1,8.0,0,145.0,4.0,7.0
2006,10204,AMAZONAS,BAGUA,EL PARCO,ACCION POPULAR,LISTA INDEPENDIENTE,2,39.0,0,145.0,4.0,7.0
2006,10204,AMAZONAS,BAGUA,EL PARCO,UNION POR EL PERU,LISTA INDEPENDIENTE,3,0.0,0,145.0,4.0,7.0
2006,10204,AMAZONAS,BAGUA,EL PARCO,FUERZA DEMOCRATICA,LISTA INDEPENDIENTE,4,47.0,1,145.0,4.0,7.0
2006,10204,AMAZONAS,BAGUA,EL PARCO,PARTIDO APRISTA PERUANO,LISTA INDEPENDIENTE,5,13.0,0,145.0,4.0,7.0
2006,10204,AMAZONAS,BAGUA,EL PARCO,PARTIDO NACIONALISTA PERUANO,LISTA INDEPENDIENTE,6,16.0,0,145.0,4.0,7.0
