año,ubigeo,departamento,provincia,distrito,organizacion_politica,tipo_agrupacion,posicion_cedula,votos,ganador,electores_habiles,votos_blancos,votos_nulos
2014,10202,AMAZONAS,BAGUA,ARAMANGO,OBRAS POR AMAZONAS,REGIONAL,1,3.0,0,271.0,19.0,22.0
2014,10202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,2,41.0,0,271.0,19.0,22.0
2014,10202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIONAL,3,49.0,0,271.0,19.0,22.0
2014,10202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIONAL,4,18.0,0,271.0,19.0,22.0
2014,10202,AMAZONAS,BAGUA,ARAMANGO,TODOS SOMOS AMAZONAS,REGIONAL,5,2.0,0,271.0,19.0,22.0
2014,10202,AMAZONAS,BAGUA,ARAMANGO,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIONAL,6,22.0,0,271.0,19.0,22.0
2014,10202,AMAZONAS,BAGUA,ARAMANGO,PARTIDO POPULAR CRISTIANO - PPC,NACIONAL,7,0.0,0,271.0,19.0,22.0
2014,10202,AMAZONAS,BAGUA,ARAMANGO,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,8,50.0,1,271.0,19.0,22.0
2014,10203,AMAZONAS,BAGUA,COPALLIN,PARTIDO POPULAR CRISTIANO - PPC,NACIONAL,1,5.0,0,273.0,10.0,17.0
2014,10203,AMAZONAS,BAGUA,COPALLIN,ALIANZA PARA EL PROGRESO,NACIONAL,2,26.0,0,273.0,10.0,17.0
2014,10203,AMAZONAS,BAGUA,COPALLIN,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,3,56.0,1,273.0,10.0,17.0
2014,10203,AMAZONAS,BAGUA,COPALLIN,OBRAS POR AMAZONAS,REGIONAL,4,6.0,0,273.0,10.0,17.0
2014,10203,AMAZONAS,BAGUA,COPALLIN,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIONAL,5,25.0,0,273.0,10.0,17.0
2014,10203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIONAL,6,41.0,0,273.0,10.0,17.0
2014,10203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIONAL,7,13.0,0,273.0,10.0,17.0
2014,10203,AMAZONAS,BAGUA,COPALLIN,TODOS SOMOS AMAZONAS,REGIONAL,8,6.0,0,273.0,10.0,17.0
2014,10203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,9,26.0,0,273.0,10.0,17.0
2014,10204,AMAZONAS,BAGUA,EL PARCO,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,1,144.0,1,291.0,22.0,19.0
2014,10204,AMAZONAS,BAGUA,EL PARCO,PARTIDO POPULAR CRISTIANO - PPC,NACIONAL,2,3.0,0,291.0,22.0,19.0
2014,10204,AMAZONAS,BAGUA,EL PARCO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIONAL,3,49.0,0,291.0,22.0,19.0
2014,10204,AMAZONAS,BAGUA,EL PARCO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIONAL,4,29.0,0,291.0,22.0,19.0
2014,10206,AMAZONAS,BAGUA,IMAZA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIONAL,1,69.0,1,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,2,34.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,TODOS SOMOS AMAZONAS,REGIONAL,3,16.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIONAL,4,6.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,VAMOS PERU,NACIONAL,5,1.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,PARTIDO POPULAR CRISTIANO - PPC,NACIONAL,6,3.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,ACCION POPULAR,NACIONAL,7,14.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,PARTIDO HUMANISTA PERUANO,NACIONAL,8,4.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,ALIANZA PARA EL PROGRESO,NACIONAL,9,10.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,PARTIDO DEMOCRATICO SOMOS PERU,NACIONAL,10,9.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,PERU POSIBLE,NACIONAL,11,12.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",NACIONAL,12,3.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,13,26.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,OBRAS POR AMAZONAS,REGIONAL,14,3.0,0,292.0,10.0,14.0
2014,10206,AMAZONAS,BAGUA,IMAZA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIONAL,15,5.0,0,292.0,10.0,14.0
2014,10201,AMAZONAS,BAGUA,LA PECA,PARTIDO POPULAR CRISTIANO - PPC,NACIONAL,1,1.0,0,298.0,9.0,10.0
2014,10201,AMAZONAS,BAGUA,LA PECA,ALIANZA PARA EL PROGRESO,NACIONAL,2,9.0,0,298.0,9.0,10.0
2014,10201,AMAZONAS,BAGUA,LA PECA,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,3,41.0,1,298.0,9.0,10.0
2014,10201,AMAZONAS,BAGUA,LA PECA,OBRAS POR AMAZONAS,REGIONAL,4,1.0,0,298.0,9.0,10.0
2014,10201,AMAZONAS,BAGUA,LA PECA,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIONAL,5,25.0,0,298.0,9.0,10.0
2014,10201,AMAZONAS,BAGUA,LA PECA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIONAL,6,38.0,0,298.0,9.0,10.0
2014,10201,AMAZONAS,BAGUA,LA PECA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIONAL,7,28.0,0,298.0,9.0,10.0
2014,10201,AMAZONAS,BAGUA,LA PECA,TODOS SOMOS AMAZONAS,REGIONAL,8,24.0,0,298.0,9.0,10.0
2014,10201,AMAZONAS,BAGUA,LA PECA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,9,14.0,0,298.0,9.0,10.0
2014,10304,AMAZONAS,BONGARA,CHISQUILLA,TODOS SOMOS AMAZONAS,REGIONAL,1,27.0,0,207.0,8.0,9.0
2014,10304,AMAZONAS,BONGARA,CHISQUILLA,OBRAS POR AMAZONAS,REGIONAL,2,78.0,1,207.0,8.0,9.0
2014,10304,AMAZONAS,BONGARA,CHISQUILLA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIONAL,3,54.0,0,207.0,8.0,9.0
2014,10304,AMAZONAS,BONGARA,CHISQUILLA,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,4,15.0,0,207.0,8.0,9.0
2014,10305,AMAZONAS,BONGARA,CHURUJA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIONAL,1,0.0,0,173.0,1.0,5.0
2014,10305,AMAZONAS,BONGARA,CHURUJA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,2,78.0,1,173.0,1.0,5.0
2014,10305,AMAZONAS,BONGARA,CHURUJA,OBRAS POR AMAZONAS,REGIONAL,3,50.0,0,173.0,1.0,5.0
2014,10305,AMAZONAS,BONGARA,CHURUJA,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,4,5.0,0,173.0,1.0,5.0
2014,10302,AMAZONAS,BONGARA,COROSHA,OBRAS POR AMAZONAS,REGIONAL,1,22.0,0,180.0,5.0,2.0
2014,10302,AMAZONAS,BONGARA,COROSHA,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,2,49.0,0,180.0,5.0,2.0
2014,10302,AMAZONAS,BONGARA,COROSHA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,3,6.0,0,180.0,5.0,2.0
2014,10302,AMAZONAS,BONGARA,COROSHA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIONAL,4,7.0,0,180.0,5.0,2.0
2014,10302,AMAZONAS,BONGARA,COROSHA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIONAL,5,54.0,1,180.0,5.0,2.0
2014,10302,AMAZONAS,BONGARA,COROSHA,TODOS SOMOS AMAZONAS,REGIONAL,6,5.0,0,180.0,5.0,2.0
2014,10303,AMAZONAS,BONGARA,CUISPES,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,1,46.0,0,249.0,15.0,15.0
2014,10303,AMAZONAS,BONGARA,CUISPES,TODOS SOMOS AMAZONAS,REGIONAL,2,4.0,0,249.0,15.0,15.0
2014,10303,AMAZONAS,BONGARA,CUISPES,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,3,110.0,1,249.0,15.0,15.0
2014,10303,AMAZONAS,BONGARA,CUISPES,OBRAS POR AMAZONAS,REGIONAL,4,24.0,0,249.0,15.0,15.0
2014,10306,AMAZONAS,BONGARA,FLORIDA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIONAL,1,1.0,0,259.0,6.0,7.0
2014,10306,AMAZONAS,BONGARA,FLORIDA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIONAL,2,19.0,0,259.0,6.0,7.0
2014,10306,AMAZONAS,BONGARA,FLORIDA,TODOS SOMOS AMAZONAS,REGIONAL,3,10.0,0,259.0,6.0,7.0
2014,10306,AMAZONAS,BONGARA,FLORIDA,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIONAL,4,6.0,0,259.0,6.0,7.0
2014,10306,AMAZONAS,BONGARA,FLORIDA,ALIANZA PARA EL PROGRESO,NACIONAL,5,16.0,0,259.0,6.0,7.0
2014,10306,AMAZONAS,BONGARA,FLORIDA,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,6,89.0,1,259.0,6.0,7.0
2014,10306,AMAZONAS,BONGARA,FLORIDA,OBRAS POR AMAZONAS,REGIONAL,7,31.0,0,259.0,6.0,7.0
2014,10306,AMAZONAS,BONGARA,FLORIDA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,8,20.0,0,259.0,6.0,7.0
2014,10312,AMAZONAS,BONGARA,JAZAN,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,1,32.0,0,288.0,18.0,15.0
2014,10312,AMAZONAS,BONGARA,JAZAN,UNIDAD Y DEMOCRACIA DE AMAZONAS,REGIONAL,2,3.0,0,288.0,18.0,15.0
2014,10312,AMAZONAS,BONGARA,JAZAN,TODOS SOMOS AMAZONAS,REGIONAL,3,0.0,0,288.0,18.0,15.0
2014,10312,AMAZONAS,BONGARA,JAZAN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIONAL,4,76.0,1,288.0,18.0,15.0
2014,10312,AMAZONAS,BONGARA,JAZAN,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,REGIONAL,5,14.0,0,288.0,18.0,15.0
2014,10312,AMAZONAS,BONGARA,JAZAN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,6,28.0,0,288.0,18.0,15.0
2014,10312,AMAZONAS,BONGARA,JAZAN,OBRAS POR AMAZONAS,REGIONAL,7,35.0,0,288.0,18.0,15.0
2014,10307,AMAZONAS,BONGARA,RECTA,OBRAS POR AMAZONAS,REGIONAL,1,100.0,1,239.0,2.0,12.0
2014,10307,AMAZONAS,BONGARA,RECTA,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,2,29.0,0,239.0,2.0,12.0
2014,10307,AMAZONAS,BONGARA,RECTA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,REGIONAL,3,60.0,0,239.0,2.0,12.0
2014,10308,AMAZONAS,BONGARA,SAN CARLOS,SENTIMIENTO AMAZONENSE REGIONAL,REGIONAL,1,20.0,0,160.0,9.0,5.0
2014,10308,AMAZONAS,BONGARA,SAN CARLOS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,REGIONAL,2,49.0,1,160.0,9.0,5.0
2014,10308,AMAZONAS,BONGARA,SAN CARLOS,OBRAS POR AMAZONAS,REGIONAL,3,47.0,0,160.0,9.0,5.0
