ubigeo,region,provincia,distrito,organizacion_politica,total_votos,sexo,origen_apellido
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,ACCION POPULAR,35,F,CASTELLANO
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,FUERZA DEMOCRATICA,88,F,CASTELLANO
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,50,F,CASTELLANO
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,PARTIDO APRISTA PERUANO,23,F,CASTELLANO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,ACCION POPULAR,41,M,CASTELLANO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,AGRUPACION INDEPENDIENTE SI CUMPLE,104,M,CASTELLANO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,INTEGRACION 6 DE JUNIO,103,M,CASTELLANO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,PARTIDO APRISTA PERUANO,148,M,CASTELLANO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,UNION POR EL PERU,155,M,CASTELLANO
10104,AMAZONAS,CHACHAPOYAS,CHETO,ACCION POPULAR,55,F,CASTELLANO
10104,AMAZONAS,CHACHAPOYAS,CHETO,FUERZA DEMOCRATICA,100,F,CASTELLANO
10104,AMAZONAS,CHACHAPOYAS,CHETO,INTEGRACION 6 DE JUNIO,77,F,CASTELLANO
10104,AMAZONAS,CHACHAPOYAS,CHETO,PARTIDO APRISTA PERUANO,101,F,CASTELLANO
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,ACCION POPULAR,20,M,CASTELLANO
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,17,M,CASTELLANO
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,PARTIDO APRISTA PERUANO,222,M,CASTELLANO
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,UNION POR EL PERU,150,M,CASTELLANO
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,AGRUPACION INDEPENDIENTE SI CUMPLE,96,M,CASTELLANO
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,INTEGRACION 6 DE JUNIO,135,M,CASTELLANO
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,PARTIDO APRISTA PERUANO,174,M,CASTELLANO
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,UNION POR EL PERU,118,M,CASTELLANO
10107,AMAZONAS,CHACHAPOYAS,GRANADA,ACCION POPULAR,51,M,AYMARA
10107,AMAZONAS,CHACHAPOYAS,GRANADA,FUERZA DEMOCRATICA,50,M,AYMARA
10107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,12,M,AYMARA
10107,AMAZONAS,CHACHAPOYAS,GRANADA,PARTIDO APRISTA PERUANO,63,M,AYMARA
10107,AMAZONAS,CHACHAPOYAS,GRANADA,UNION POR EL PERU,47,M,AYMARA
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,ACCION POPULAR,28,M,CASTELLANO
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,FUERZA DEMOCRATICA,43,M,CASTELLANO
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,INTEGRACION 6 DE JUNIO,22,M,CASTELLANO
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,60,M,CASTELLANO
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,PARTIDO APRISTA PERUANO,39,M,CASTELLANO
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,UNION POR EL PERU,82,M,CASTELLANO
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,ACCION POPULAR,29,M,CASTELLANO
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,AGRUPACION INDEPENDIENTE SI CUMPLE,20,M,CASTELLANO
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,FUERZA DEMOCRATICA,138,M,CASTELLANO
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,INTEGRACION 6 DE JUNIO,312,M,CASTELLANO
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,45,M,CASTELLANO
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,PARTIDO APRISTA PERUANO,329,M,CASTELLANO
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,PARTIDO NACIONALISTA PERUANO,166,M,CASTELLANO
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,UNION POR EL PERU,734,M,CASTELLANO
10110,AMAZONAS,CHACHAPOYAS,LEYMEBAMBA,FUERZA DEMOCRATICA,902,M,CASTELLANO
10110,AMAZONAS,CHACHAPOYAS,LEYMEBAMBA,INTEGRACION 6 DE JUNIO,170,M,CASTELLANO
10110,AMAZONAS,CHACHAPOYAS,LEYMEBAMBA,PARTIDO APRISTA PERUANO,416,M,CASTELLANO
10110,AMAZONAS,CHACHAPOYAS,LEYMEBAMBA,PARTIDO NACIONALISTA PERUANO,54,M,CASTELLANO
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,ACCION POPULAR,125,M,CASTELLANO
