ubigeo,region,provincia,distrito,organizacion_politica,total_votos,sexo,origen_apellido
10108,Amazonas,Chachapoyas,Huancas,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,54,F,CASTELLANO
10108,Amazonas,Chachapoyas,Huancas,RENOVACION POPULAR,131,F,CASTELLANO
10108,Amazonas,Chachapoyas,Huancas,ALIANZA PARA EL PROGRESO,230,F,CASTELLANO
10109,Amazonas,Chachapoyas,La Jalca,SENTIMIENTO AMAZONENSE REGIONAL,1110,M,QUECHUA
10109,Amazonas,Chachapoyas,La Jalca,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,681,M,QUECHUA
10109,Amazonas,Chachapoyas,La Jalca,JUNTOS POR EL PERU,995,M,QUECHUA
10109,Amazonas,Chachapoyas,La Jalca,RENOVACION POPULAR,94,M,QUECHUA
10110,Amazonas,Chachapoyas,Leimebamba,SENTIMIENTO AMAZONENSE REGIONAL,137,M,CASTELLANO
10110,Amazonas,Chachapoyas,Leimebamba,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,633,M,CASTELLANO
10110,Amazonas,Chachapoyas,Leimebamba,JUNTOS POR EL PERU,63,M,CASTELLANO
10110,Amazonas,Chachapoyas,Leimebamba,RENOVACION POPULAR,633,M,CASTELLANO
10110,Amazonas,Chachapoyas,Leimebamba,ALIANZA PARA EL PROGRESO,352,M,CASTELLANO
10111,Amazonas,Chachapoyas,Levanto,SENTIMIENTO AMAZONENSE REGIONAL,157,M,CASTELLANO
10111,Amazonas,Chachapoyas,Levanto,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,312,M,CASTELLANO
10111,Amazonas,Chachapoyas,Levanto,JUNTOS POR EL PERU,38,M,CASTELLANO
10111,Amazonas,Chachapoyas,Levanto,RENOVACION POPULAR,127,M,CASTELLANO
10111,Amazonas,Chachapoyas,Levanto,ALIANZA PARA EL PROGRESO,76,M,CASTELLANO
10112,Amazonas,Chachapoyas,Magdalena,SENTIMIENTO AMAZONENSE REGIONAL,76,M,CASTELLANO
10112,Amazonas,Chachapoyas,Magdalena,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,239,M,CASTELLANO
10112,Amazonas,Chachapoyas,Magdalena,JUNTOS POR EL PERU,97,M,CASTELLANO
10112,Amazonas,Chachapoyas,Magdalena,RENOVACION POPULAR,89,M,CASTELLANO
10112,Amazonas,Chachapoyas,Magdalena,ALIANZA PARA EL PROGRESO,63,M,CASTELLANO
10113,Amazonas,Chachapoyas,Mariscal Castilla,SENTIMIENTO AMAZONENSE REGIONAL,210,M,CASTELLANO
10113,Amazonas,Chachapoyas,Mariscal Castilla,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,113,M,CASTELLANO
10113,Amazonas,Chachapoyas,Mariscal Castilla,ALIANZA PARA EL PROGRESO,242,M,CASTELLANO
10114,Amazonas,Chachapoyas,Molinopampa,SENTIMIENTO AMAZONENSE REGIONAL,572,M,CASTELLANO
10114,Amazonas,Chachapoyas,Molinopampa,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,322,M,CASTELLANO
10114,Amazonas,Chachapoyas,Molinopampa,RENOVACION POPULAR,449,M,CASTELLANO
10115,Amazonas,Chachapoyas,Montevideo,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,263,M,CASTELLANO
10115,Amazonas,Chachapoyas,Montevideo,JUNTOS POR EL PERU,198,M,CASTELLANO
10116,Amazonas,Chachapoyas,Olleros,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,179,M,CASTELLANO
10116,Amazonas,Chachapoyas,Olleros,RENOVACION POPULAR,110,M,CASTELLANO
10117,Amazonas,Chachapoyas,Quinjalca,SENTIMIENTO AMAZONENSE REGIONAL,222,M,CASTELLANO
10117,Amazonas,Chachapoyas,Quinjalca,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,162,M,CASTELLANO
10117,Amazonas,Chachapoyas,Quinjalca,RENOVACION POPULAR,163,M,CASTELLANO
10117,Amazonas,Chachapoyas,Quinjalca,ALIANZA PARA EL PROGRESO,111,M,CASTELLANO
10118,Amazonas,Chachapoyas,San Francisco de Daguas,SENTIMIENTO AMAZONENSE REGIONAL,103,M,QUECHUA
10118,Amazonas,Chachapoyas,San Francisco de Daguas,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,142,M,QUECHUA
10119,Amazonas,Chachapoyas,San Isidro de Maino,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,247,M,CASTELLANO
10119,Amazonas,Chachapoyas,San Isidro de Maino,RENOVACION POPULAR,217,M,CASTELLANO
10120,Amazonas,Chachapoyas,Soloco,SENTIMIENTO AMAZONENSE REGIONAL,413,M,CASTELLANO
10120,Amazonas,Chachapoyas,Soloco,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,168,M,CASTELLANO
10120,Amazonas,Chachapoyas,Soloco,JUNTOS POR EL PERU,165,M,CASTELLANO
10120,Amazonas,Chachapoyas,Soloco,RENOVACION POPULAR,192,M,CASTELLANO
10120,Amazonas,Chachapoyas,Soloco,ALIANZA PARA EL PROGRESO,13,M,CASTELLANO
10121,Amazonas,Chachapoyas,Sonche,SENTIMIENTO AMAZONENSE REGIONAL,75,M,CASTELLANO
10121,Amazonas,Chachapoyas,Sonche,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,87,M,CASTELLANO
10121,Amazonas,Chachapoyas,Sonche,RENOVACION POPULAR,95,M,CASTELLANO
10201,Amazonas,Bagua,La Peca,SENTIMIENTO AMAZONENSE REGIONAL,488,M,CASTELLANO
10201,Amazonas,Bagua,La Peca,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,1575,M,CASTELLANO
10201,Amazonas,Bagua,La Peca,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,321,M,CASTELLANO
10201,Amazonas,Bagua,La Peca,RENOVACION POPULAR,600,M,CASTELLANO
10201,Amazonas,Bagua,La Peca,ALIANZA PARA EL PROGRESO,1239,M,CASTELLANO
10202,Amazonas,Bagua,Aramango,SENTIMIENTO AMAZONENSE REGIONAL,997,M,CASTELLANO
10202,Amazonas,Bagua,Aramango,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,1424,M,CASTELLANO
10202,Amazonas,Bagua,Aramango,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,1045,M,CASTELLANO
10202,Amazonas,Bagua,Aramango,RENOVACION POPULAR,352,M,CASTELLANO
10202,Amazonas,Bagua,Aramango,ALIANZA PARA EL PROGRESO,1503,M,CASTELLANO
10202,Amazonas,Bagua,Aramango,PARTIDO POLITICO NACIONAL PERU LIBRE,83,M,CASTELLANO
10203,Amazonas,Bagua,Copallin,SENTIMIENTO AMAZONENSE REGIONAL,330,M,CASTELLANO
10203,Amazonas,Bagua,Copallin,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,936,M,CASTELLANO
10203,Amazonas,Bagua,Copallin,JUNTOS POR EL PERU,89,M,CASTELLANO
10203,Amazonas,Bagua,Copallin,RENOVACION POPULAR,208,M,CASTELLANO
10203,Amazonas,Bagua,Copallin,ALIANZA PARA EL PROGRESO,1338,M,CASTELLANO
10203,Amazonas,Bagua,Copallin,PARTIDO POLITICO NACIONAL PERU LIBRE,26,M,CASTELLANO
10204,Amazonas,Bagua,El Parco,SENTIMIENTO AMAZONENSE REGIONAL,339,M,CASTELLANO
10204,Amazonas,Bagua,El Parco,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,211,M,CASTELLANO
10204,Amazonas,Bagua,El Parco,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,88,M,CASTELLANO
10204,Amazonas,Bagua,El Parco,ALIANZA PARA EL PROGRESO,369,M,CASTELLANO
10206,Amazonas,Bagua,Imaza,SENTIMIENTO AMAZONENSE REGIONAL,1340,M,CASTELLANO
10206,Amazonas,Bagua,Imaza,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,2072,M,CASTELLANO
10206,Amazonas,Bagua,Imaza,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,1753,M,CASTELLANO
10206,Amazonas,Bagua,Imaza,MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA,1584,M,CASTELLANO
10206,Amazonas,Bagua,Imaza,FUERZA POPULAR,410,M,CASTELLANO
10206,Amazonas,Bagua,Imaza,PODEMOS PERU,2772,M,CASTELLANO
10206,Amazonas,Bagua,Imaza,RENOVACION POPULAR,1861,M,CASTELLANO
10302,Amazonas,BongarÃ¡,Corosha,SENTIMIENTO AMAZONENSE REGIONAL,310,M,CASTELLANO
10302,Amazonas,BongarÃ¡,Corosha,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,48,M,CASTELLANO
10302,Amazonas,BongarÃ¡,Corosha,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,125,M,CASTELLANO
10302,Amazonas,BongarÃ¡,Corosha,RENOVACION POPULAR,59,M,CASTELLANO
10303,Amazonas,BongarÃ¡,Cuispes,SENTIMIENTO AMAZONENSE REGIONAL,269,M,CASTELLANO
10303,Amazonas,BongarÃ¡,Cuispes,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,92,M,CASTELLANO
10303,Amazonas,BongarÃ¡,Cuispes,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,130,M,CASTELLANO
10303,Amazonas,BongarÃ¡,Cuispes,RENOVACION POPULAR,19,M,CASTELLANO
10303,Amazonas,BongarÃ¡,Cuispes,PARTIDO POLITICO NACIONAL PERU LIBRE,20,M,CASTELLANO
10304,Amazonas,BongarÃ¡,Chisquilla,SENTIMIENTO AMAZONENSE REGIONAL,173,M,CASTELLANO
10304,Amazonas,BongarÃ¡,Chisquilla,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,112,M,CASTELLANO
10304,Amazonas,BongarÃ¡,Chisquilla,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,32,M,CASTELLANO
10305,Amazonas,BongarÃ¡,Churuja,SENTIMIENTO AMAZONENSE REGIONAL,62,M,CASTELLANO
10305,Amazonas,BongarÃ¡,Churuja,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,105,M,CASTELLANO
10305,Amazonas,BongarÃ¡,Churuja,RENOVACION POPULAR,106,M,CASTELLANO
10306,Amazonas,BongarÃ¡,Florida,SENTIMIENTO AMAZONENSE REGIONAL,887,M,CASTELLANO
10306,Amazonas,BongarÃ¡,Florida,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,776,M,CASTELLANO
10306,Amazonas,BongarÃ¡,Florida,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,129,M,CASTELLANO
10306,Amazonas,BongarÃ¡,Florida,JUNTOS POR EL PERU,208,M,CASTELLANO
10306,Amazonas,BongarÃ¡,Florida,RENOVACION POPULAR,214,M,CASTELLANO
10306,Amazonas,BongarÃ¡,Florida,ALIANZA PARA EL PROGRESO,684,M,CASTELLANO
10307,Amazonas,BongarÃ¡,Recta,SENTIMIENTO AMAZONENSE REGIONAL,0,M,AYMARA
10307,Amazonas,BongarÃ¡,Recta,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,0,M,AYMARA
10308,Amazonas,BongarÃ¡,San Carlos,SENTIMIENTO AMAZONENSE REGIONAL,247,M,CASTELLANO
10308,Amazonas,BongarÃ¡,San Carlos,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,106,M,CASTELLANO
10308,Amazonas,BongarÃ¡,San Carlos,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,37,M,CASTELLANO
10309,Amazonas,BongarÃ¡,Shipasbamba,SENTIMIENTO AMAZONENSE REGIONAL,69,M,CASTELLANO
10309,Amazonas,BongarÃ¡,Shipasbamba,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,300,M,CASTELLANO
10309,Amazonas,BongarÃ¡,Shipasbamba,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,466,M,CASTELLANO
10309,Amazonas,BongarÃ¡,Shipasbamba,RENOVACION POPULAR,190,M,CASTELLANO
10310,Amazonas,BongarÃ¡,Valera,SENTIMIENTO AMAZONENSE REGIONAL,221,M,CASTELLANO
10310,Amazonas,BongarÃ¡,Valera,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,230,M,CASTELLANO
10310,Amazonas,BongarÃ¡,Valera,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,73,M,CASTELLANO
10310,Amazonas,BongarÃ¡,Valera,RENOVACION POPULAR,219,M,CASTELLANO
10311,Amazonas,BongarÃ¡,Yambrasbamba,SENTIMIENTO AMAZONENSE REGIONAL,737,M,CASTELLANO
10311,Amazonas,BongarÃ¡,Yambrasbamba,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,471,M,CASTELLANO
10311,Amazonas,BongarÃ¡,Yambrasbamba,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,934,M,CASTELLANO
10311,Amazonas,BongarÃ¡,Yambrasbamba,RENOVACION POPULAR,1170,M,CASTELLANO
10312,Amazonas,BongarÃ¡,Jazan,SENTIMIENTO AMAZONENSE REGIONAL,985,M,CASTELLANO
10312,Amazonas,BongarÃ¡,Jazan,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,597,M,CASTELLANO
10312,Amazonas,BongarÃ¡,Jazan,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,452,M,CASTELLANO
10312,Amazonas,BongarÃ¡,Jazan,MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA,641,M,CASTELLANO
10312,Amazonas,BongarÃ¡,Jazan,RENOVACION POPULAR,1036,M,CASTELLANO
10312,Amazonas,BongarÃ¡,Jazan,ALIANZA PARA EL PROGRESO,49,M,CASTELLANO
10402,Amazonas,Luya,Camporredondo,SENTIMIENTO AMAZONENSE REGIONAL,1306,M,CASTELLANO
10402,Amazonas,Luya,Camporredondo,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,1058,M,CASTELLANO
10402,Amazonas,Luya,Camporredondo,JUNTOS POR EL PERU,14,M,CASTELLANO
10402,Amazonas,Luya,Camporredondo,RENOVACION POPULAR,225,M,CASTELLANO
10402,Amazonas,Luya,Camporredondo,ALIANZA PARA EL PROGRESO,695,M,CASTELLANO
10403,Amazonas,Luya,Cocabamba,SENTIMIENTO AMAZONENSE REGIONAL,204,M,CASTELLANO
10403,Amazonas,Luya,Cocabamba,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,70,M,CASTELLANO
10403,Amazonas,Luya,Cocabamba,JUNTOS POR EL PERU,305,M,CASTELLANO
10403,Amazonas,Luya,Cocabamba,RENOVACION POPULAR,341,M,CASTELLANO
10404,Amazonas,Luya,Colcamar,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,559,F,QUECHUA
10404,Amazonas,Luya,Colcamar,JUNTOS POR EL PERU,182,F,QUECHUA
10404,Amazonas,Luya,Colcamar,RENOVACION POPULAR,428,F,QUECHUA
10405,Amazonas,Luya,Conila,SENTIMIENTO AMAZONENSE REGIONAL,362,M,CASTELLANO
10405,Amazonas,Luya,Conila,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,470,M,CASTELLANO
10405,Amazonas,Luya,Conila,RENOVACION POPULAR,326,M,CASTELLANO
10406,Amazonas,Luya,Inguilpata,SENTIMIENTO AMAZONENSE REGIONAL,51,M,CASTELLANO
10406,Amazonas,Luya,Inguilpata,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,115,M,CASTELLANO
10406,Amazonas,Luya,Inguilpata,JUNTOS POR EL PERU,121,M,CASTELLANO
10406,Amazonas,Luya,Inguilpata,RENOVACION POPULAR,99,M,CASTELLANO
10406,Amazonas,Luya,Inguilpata,ALIANZA PARA EL PROGRESO,8,M,CASTELLANO
10407,Amazonas,Luya,Longuita,SENTIMIENTO AMAZONENSE REGIONAL,172,M,CASTELLANO
10407,Amazonas,Luya,Longuita,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,214,M,CASTELLANO
10407,Amazonas,Luya,Longuita,JUNTOS POR EL PERU,119,M,CASTELLANO
10407,Amazonas,Luya,Longuita,RENOVACION POPULAR,32,M,CASTELLANO
10408,Amazonas,Luya,Lonya Chico,SENTIMIENTO AMAZONENSE REGIONAL,140,M,CASTELLANO
10408,Amazonas,Luya,Lonya Chico,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,23,M,CASTELLANO
10408,Amazonas,Luya,Lonya Chico,JUNTOS POR EL PERU,295,M,CASTELLANO
10408,Amazonas,Luya,Lonya Chico,RENOVACION POPULAR,128,M,CASTELLANO
10409,Amazonas,Luya,Luya,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,460,M,CASTELLANO
10409,Amazonas,Luya,Luya,JUNTOS POR EL PERU,476,M,CASTELLANO
10409,Amazonas,Luya,Luya,RENOVACION POPULAR,1067,M,CASTELLANO
10410,Amazonas,Luya,Luya Viejo,SENTIMIENTO AMAZONENSE REGIONAL,79,M,QUECHUA
10410,Amazonas,Luya,Luya Viejo,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,132,M,QUECHUA
10410,Amazonas,Luya,Luya Viejo,RENOVACION POPULAR,103,M,QUECHUA
10411,Amazonas,Luya,MarÃ­a,SENTIMIENTO AMAZONENSE REGIONAL,245,F,CASTELLANO
10411,Amazonas,Luya,MarÃ­a,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,227,F,CASTELLANO
10411,Amazonas,Luya,MarÃ­a,JUNTOS POR EL PERU,58,F,CASTELLANO
10411,Amazonas,Luya,MarÃ­a,ALIANZA PARA EL PROGRESO,23,F,CASTELLANO
10412,Amazonas,Luya,Ocalli,SENTIMIENTO AMAZONENSE REGIONAL,86,M,CASTELLANO
10412,Amazonas,Luya,Ocalli,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,596,M,CASTELLANO
10412,Amazonas,Luya,Ocalli,JUNTOS POR EL PERU,343,M,CASTELLANO
10412,Amazonas,Luya,Ocalli,RENOVACION POPULAR,418,M,CASTELLANO
10412,Amazonas,Luya,Ocalli,ALIANZA PARA EL PROGRESO,341,M,CASTELLANO
10413,Amazonas,Luya,Ocumal,SENTIMIENTO AMAZONENSE REGIONAL,134,M,CASTELLANO
10413,Amazonas,Luya,Ocumal,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,992,M,CASTELLANO
10413,Amazonas,Luya,Ocumal,RENOVACION POPULAR,593,M,CASTELLANO
10414,Amazonas,Luya,Pisuquia,SENTIMIENTO AMAZONENSE REGIONAL,371,M,QUECHUA
10414,Amazonas,Luya,Pisuquia,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,922,M,QUECHUA
10414,Amazonas,Luya,Pisuquia,JUNTOS POR EL PERU,337,M,QUECHUA
10414,Amazonas,Luya,Pisuquia,RENOVACION POPULAR,522,M,QUECHUA
10415,Amazonas,Luya,San CristÃ³bal,SENTIMIENTO AMAZONENSE REGIONAL,63,M,CASTELLANO
10415,Amazonas,Luya,San CristÃ³bal,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,116,M,CASTELLANO
10415,Amazonas,Luya,San CristÃ³bal,RENOVACION POPULAR,125,M,CASTELLANO
10415,Amazonas,Luya,San CristÃ³bal,ALIANZA PARA EL PROGRESO,54,M,CASTELLANO
10415,Amazonas,Luya,San CristÃ³bal,PARTIDO DEMOCRATICO SOMOS PERU,71,M,CASTELLANO
10416,Amazonas,Luya,San Francisco del Yeso,SENTIMIENTO AMAZONENSE REGIONAL,106,M,AYMARA
10416,Amazonas,Luya,San Francisco del Yeso,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,170,M,AYMARA
10416,Amazonas,Luya,San Francisco del Yeso,RENOVACION POPULAR,152,M,AYMARA
10417,Amazonas,Luya,San JerÃ³nimo,SENTIMIENTO AMAZONENSE REGIONAL,147,M,CASTELLANO
10417,Amazonas,Luya,San JerÃ³nimo,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,183,M,CASTELLANO
10417,Amazonas,Luya,San JerÃ³nimo,JUNTOS POR EL PERU,116,M,CASTELLANO
10417,Amazonas,Luya,San JerÃ³nimo,RENOVACION POPULAR,111,M,CASTELLANO
10418,Amazonas,Luya,San Juan de Lopecancha,SENTIMIENTO AMAZONENSE REGIONAL,184,M,CASTELLANO
10418,Amazonas,Luya,San Juan de Lopecancha,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,159,M,CASTELLANO
10418,Amazonas,Luya,San Juan de Lopecancha,RENOVACION POPULAR,15,M,CASTELLANO
10419,Amazonas,Luya,Santa Catalina,SENTIMIENTO AMAZONENSE REGIONAL,82,M,CASTELLANO
10419,Amazonas,Luya,Santa Catalina,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,333,M,CASTELLANO
10419,Amazonas,Luya,Santa Catalina,JUNTOS POR EL PERU,366,M,CASTELLANO
10419,Amazonas,Luya,Santa Catalina,RENOVACION POPULAR,125,M,CASTELLANO
10419,Amazonas,Luya,Santa Catalina,ALIANZA PARA EL PROGRESO,223,M,CASTELLANO
10420,Amazonas,Luya,Santo TomÃ¡s,SENTIMIENTO AMAZONENSE REGIONAL,309,M,CASTELLANO
10420,Amazonas,Luya,Santo TomÃ¡s,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,417,M,CASTELLANO
10420,Amazonas,Luya,Santo TomÃ¡s,JUNTOS POR EL PERU,307,M,CASTELLANO
10420,Amazonas,Luya,Santo TomÃ¡s,RENOVACION POPULAR,331,M,CASTELLANO
10420,Amazonas,Luya,Santo TomÃ¡s,ALIANZA PARA EL PROGRESO,156,M,CASTELLANO
10421,Amazonas,Luya,Tingo,SENTIMIENTO AMAZONENSE REGIONAL,381,F,QUECHUA
10421,Amazonas,Luya,Tingo,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,467,F,QUECHUA
10421,Amazonas,Luya,Tingo,RENOVACION POPULAR,43,F,QUECHUA
10422,Amazonas,Luya,Trita,SENTIMIENTO AMAZONENSE REGIONAL,306,M,CASTELLANO
10422,Amazonas,Luya,Trita,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,323,M,CASTELLANO
10422,Amazonas,Luya,Trita,RENOVACION POPULAR,178,M,CASTELLANO
10423,Amazonas,Luya,Providencia,SENTIMIENTO AMAZONENSE REGIONAL,299,M,CASTELLANO
10423,Amazonas,Luya,Providencia,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,230,M,CASTELLANO
10423,Amazonas,Luya,Providencia,RENOVACION POPULAR,369,M,CASTELLANO
10502,Amazonas,RodrÃ­guez de Mendoza,Cochamal,SENTIMIENTO AMAZONENSE REGIONAL,88,M,CASTELLANO
10502,Amazonas,RodrÃ­guez de Mendoza,Cochamal,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,183,M,CASTELLANO
10502,Amazonas,RodrÃ­guez de Mendoza,Cochamal,RENOVACION POPULAR,123,M,CASTELLANO
10502,Amazonas,RodrÃ­guez de Mendoza,Cochamal,ALIANZA PARA EL PROGRESO,107,M,CASTELLANO
10502,Amazonas,RodrÃ­guez de Mendoza,Cochamal,PARTIDO POLITICO NACIONAL PERU LIBRE,40,M,CASTELLANO
10503,Amazonas,RodrÃ­guez de Mendoza,Chirimoto,SENTIMIENTO AMAZONENSE REGIONAL,209,M,CASTELLANO
10503,Amazonas,RodrÃ­guez de Mendoza,Chirimoto,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,278,M,CASTELLANO
10503,Amazonas,RodrÃ­guez de Mendoza,Chirimoto,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,29,M,CASTELLANO
10503,Amazonas,RodrÃ­guez de Mendoza,Chirimoto,JUNTOS POR EL PERU,36,M,CASTELLANO
10503,Amazonas,RodrÃ­guez de Mendoza,Chirimoto,RENOVACION POPULAR,215,M,CASTELLANO
10503,Amazonas,RodrÃ­guez de Mendoza,Chirimoto,ALIANZA PARA EL PROGRESO,308,M,CASTELLANO
10503,Amazonas,RodrÃ­guez de Mendoza,Chirimoto,PARTIDO POLITICO NACIONAL PERU LIBRE,198,M,CASTELLANO
10504,Amazonas,RodrÃ­guez de Mendoza,Huambo,SENTIMIENTO AMAZONENSE REGIONAL,222,M,CASTELLANO
10504,Amazonas,RodrÃ­guez de Mendoza,Huambo,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,372,M,CASTELLANO
10504,Amazonas,RodrÃ­guez de Mendoza,Huambo,RENOVACION POPULAR,252,M,CASTELLANO
10504,Amazonas,RodrÃ­guez de Mendoza,Huambo,ALIANZA PARA EL PROGRESO,697,M,CASTELLANO
10505,Amazonas,RodrÃ­guez de Mendoza,Limabamba,SENTIMIENTO AMAZONENSE REGIONAL,378,M,CASTELLANO
10505,Amazonas,RodrÃ­guez de Mendoza,Limabamba,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,284,M,CASTELLANO
10505,Amazonas,RodrÃ­guez de Mendoza,Limabamba,RENOVACION POPULAR,152,M,CASTELLANO
