ubigeo,region,provincia,distrito,organizacion_politica,total_votos,sexo,origen_apellido
10102,Amazonas,Chachapoyas,AsunciÃ³n,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,108,M,CASTELLANO
10102,Amazonas,Chachapoyas,AsunciÃ³n,ALIANZA PARA EL PROGRESO,159,M,CASTELLANO
10103,Amazonas,Chachapoyas,Balsas,SENTIMIENTO AMAZONENSE REGIONAL,120,M,CASTELLANO
10103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,40,M,CASTELLANO
10103,Amazonas,Chachapoyas,Balsas,RENOVACION POPULAR,130,M,CASTELLANO
10103,Amazonas,Chachapoyas,Balsas,ALIANZA PARA EL PROGRESO,248,M,CASTELLANO
10104,Amazonas,Chachapoyas,Cheto,SENTIMIENTO AMAZONENSE REGIONAL,203,M,CASTELLANO
10104,Amazonas,Chachapoyas,Cheto,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,294,M,CASTELLANO
10104,Amazonas,Chachapoyas,Cheto,PARTIDO POLITICO NACIONAL PERU LIBRE,17,M,CASTELLANO
10105,Amazonas,Chachapoyas,Chiliquin,SENTIMIENTO AMAZONENSE REGIONAL,212,M,CASTELLANO
10105,Amazonas,Chachapoyas,Chiliquin,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,131,M,CASTELLANO
10105,Amazonas,Chachapoyas,Chiliquin,JUNTOS POR EL PERU,33,M,CASTELLANO
10105,Amazonas,Chachapoyas,Chiliquin,RENOVACION POPULAR,191,M,CASTELLANO
10105,Amazonas,Chachapoyas,Chiliquin,ALIANZA PARA EL PROGRESO,20,M,CASTELLANO
10106,Amazonas,Chachapoyas,Chuquibamba,SENTIMIENTO AMAZONENSE REGIONAL,479,M,CASTELLANO
10106,Amazonas,Chachapoyas,Chuquibamba,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,298,M,CASTELLANO
10106,Amazonas,Chachapoyas,Chuquibamba,JUNTOS POR EL PERU,82,M,CASTELLANO
10106,Amazonas,Chachapoyas,Chuquibamba,RENOVACION POPULAR,93,M,CASTELLANO
10106,Amazonas,Chachapoyas,Chuquibamba,ALIANZA PARA EL PROGRESO,19,M,CASTELLANO
10107,Amazonas,Chachapoyas,Granada,SENTIMIENTO AMAZONENSE REGIONAL,169,M,CASTELLANO
10107,Amazonas,Chachapoyas,Granada,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,229,M,CASTELLANO
10108,Amazonas,Chachapoyas,Huancas,SENTIMIENTO AMAZONENSE REGIONAL,102,F,CASTELLANO
