ubigeo,region,provincia,distrito,organizacion_politica,total_votos,sexo,origen_apellido
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,14,F,CASTELLANO
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,116,F,CASTELLANO
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,OBRAS POR AMAZONAS,11,F,CASTELLANO
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,SENTIMIENTO AMAZONENSE REGIONAL,122,F,CASTELLANO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA PARA EL PROGRESO,60,M,CASTELLANO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,46,M,CASTELLANO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,79,M,CASTELLANO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,207,M,CASTELLANO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,OBRAS POR AMAZONAS,28,M,CASTELLANO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,SENTIMIENTO AMAZONENSE REGIONAL,147,M,CASTELLANO
10103,AMAZONAS,CHACHAPOYAS,BALSAS,UNIDAD Y DEMOCRACIA DE AMAZONAS,145,M,CASTELLANO
10104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,219,M,CASTELLANO
10104,AMAZONAS,CHACHAPOYAS,CHETO,SENTIMIENTO AMAZONENSE REGIONAL,265,M,CASTELLANO
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,181,M,AYMARA
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,207,M,AYMARA
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENTIMIENTO AMAZONENSE REGIONAL,154,M,AYMARA
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,313,M,CASTELLANO
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,35,M,CASTELLANO
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,130,M,CASTELLANO
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,306,M,CASTELLANO
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,OBRAS POR AMAZONAS,2,M,CASTELLANO
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,151,M,CASTELLANO
10107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,93,M,AYMARA
10107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,142,M,AYMARA
10107,AMAZONAS,CHACHAPOYAS,GRANADA,SENTIMIENTO AMAZONENSE REGIONAL,106,M,AYMARA
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,67,F,CASTELLANO
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,20,F,CASTELLANO
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,77,F,CASTELLANO
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,OBRAS POR AMAZONAS,47,F,CASTELLANO
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,SENTIMIENTO AMAZONENSE REGIONAL,36,F,CASTELLANO
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,TODOS SOMOS AMAZONAS,51,F,CASTELLANO
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,ALIANZA PARA EL PROGRESO,260,M,CASTELLANO
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,1,M,CASTELLANO
