ubigeo,region,provincia,distrito,organizacion_politica,total_votos
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,14
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,116
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,OBRAS POR AMAZONAS,11
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,SENTIMIENTO AMAZONENSE REGIONAL,122
10103,AMAZONAS,CHACHAPOYAS,BALSAS,ALIANZA PARA EL PROGRESO,60
10103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,46
10103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,79
10103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,207
10103,AMAZONAS,CHACHAPOYAS,BALSAS,OBRAS POR AMAZONAS,28
10103,AMAZONAS,CHACHAPOYAS,BALSAS,SENTIMIENTO AMAZONENSE REGIONAL,147
10103,AMAZONAS,CHACHAPOYAS,BALSAS,UNIDAD Y DEMOCRACIA DE AMAZONAS,145
10104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,219
10104,AMAZONAS,CHACHAPOYAS,CHETO,SENTIMIENTO AMAZONENSE REGIONAL,265
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,181
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,207
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENTIMIENTO AMAZONENSE REGIONAL,154
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,ALIANZA PARA EL PROGRESO,313
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,35
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,130
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,306
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,OBRAS POR AMAZONAS,2
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,151
10107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,93
10107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,142
10107,AMAZONAS,CHACHAPOYAS,GRANADA,SENTIMIENTO AMAZONENSE REGIONAL,106
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,67
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,20
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,77
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,OBRAS POR AMAZONAS,47
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,SENTIMIENTO AMAZONENSE REGIONAL,36
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,TODOS SOMOS AMAZONAS,51
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,ALIANZA PARA EL PROGRESO,260
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,1
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,66
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,647
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,OBRAS POR AMAZONAS,921
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,SENTIMIENTO AMAZONENSE REGIONAL,498
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,ALIANZA PARA EL PROGRESO,341
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,74
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,346
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,264
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,OBRAS POR AMAZONAS,168
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,PARTIDO APRISTA PERUANO,236
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,SENTIMIENTO AMAZONENSE REGIONAL,86
10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,TODOS SOMOS AMAZONAS,246
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,178
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,220
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,73
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,OBRAS POR AMAZONAS,4
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,SENTIMIENTO AMAZONENSE REGIONAL,225
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,84
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,16
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,190
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,OBRAS POR AMAZONAS,8
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,SENTIMIENTO AMAZONENSE REGIONAL,217
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,ALIANZA PARA EL PROGRESO,17
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,48
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,135
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,OBRAS POR AMAZONAS,116
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,SENTIMIENTO AMAZONENSE REGIONAL,251
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,293
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,12
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,432
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,OBRAS POR AMAZONAS,72
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,SENTIMIENTO AMAZONENSE REGIONAL,413
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,214
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,130
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,OBRAS POR AMAZONAS,20
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,SENTIMIENTO AMAZONENSE REGIONAL,124
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,147
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,SENTIMIENTO AMAZONENSE REGIONAL,118
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,181
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,OBRAS POR AMAZONAS,168
10117,AMAZONAS,CHACHAPOYAS,QUINJALCA,SENTIMIENTO AMAZONENSE REGIONAL,295
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,ALIANZA PARA EL PROGRESO,9
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,73
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,85
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,OBRAS POR AMAZONAS,11
10118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,SENTIMIENTO AMAZONENSE REGIONAL,107
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,68
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,291
10119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,SENTIMIENTO AMAZONENSE REGIONAL,36
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,293
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,469
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,OBRAS POR AMAZONAS,56
10120,AMAZONAS,CHACHAPOYAS,SOLOCO,SENTIMIENTO AMAZONENSE REGIONAL,143
10121,AMAZONAS,CHACHAPOYAS,SONCHE,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,14
10121,AMAZONAS,CHACHAPOYAS,SONCHE,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,138
10121,AMAZONAS,CHACHAPOYAS,SONCHE,SENTIMIENTO AMAZONENSE REGIONAL,80
10201,AMAZONAS,BAGUA,LA PECA,ALIANZA PARA EL PROGRESO,89
10201,AMAZONAS,BAGUA,LA PECA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,1026
10201,AMAZONAS,BAGUA,LA PECA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,914
10201,AMAZONAS,BAGUA,LA PECA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,344
10201,AMAZONAS,BAGUA,LA PECA,OBRAS POR AMAZONAS,80
10201,AMAZONAS,BAGUA,LA PECA,PARTIDO POPULAR CRISTIANO - PPC,25
10201,AMAZONAS,BAGUA,LA PECA,SENTIMIENTO AMAZONENSE REGIONAL,1461
10201,AMAZONAS,BAGUA,LA PECA,TODOS SOMOS AMAZONAS,613
10201,AMAZONAS,BAGUA,LA PECA,UNIDAD Y DEMOCRACIA DE AMAZONAS,794
10202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,1383
10202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,775
10202,AMAZONAS,BAGUA,ARAMANGO,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,924
10202,AMAZONAS,BAGUA,ARAMANGO,OBRAS POR AMAZONAS,47
10202,AMAZONAS,BAGUA,ARAMANGO,PARTIDO POPULAR CRISTIANO - PPC,7
10202,AMAZONAS,BAGUA,ARAMANGO,SENTIMIENTO AMAZONENSE REGIONAL,1546
10202,AMAZONAS,BAGUA,ARAMANGO,TODOS SOMOS AMAZONAS,70
10202,AMAZONAS,BAGUA,ARAMANGO,UNIDAD Y DEMOCRACIA DE AMAZONAS,793
10203,AMAZONAS,BAGUA,COPALLIN,ALIANZA PARA EL PROGRESO,377
10203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,541
10203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,233
10203,AMAZONAS,BAGUA,COPALLIN,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,367
10203,AMAZONAS,BAGUA,COPALLIN,OBRAS POR AMAZONAS,68
10203,AMAZONAS,BAGUA,COPALLIN,PARTIDO POPULAR CRISTIANO - PPC,42
10203,AMAZONAS,BAGUA,COPALLIN,SENTIMIENTO AMAZONENSE REGIONAL,682
10203,AMAZONAS,BAGUA,COPALLIN,TODOS SOMOS AMAZONAS,109
10203,AMAZONAS,BAGUA,COPALLIN,UNIDAD Y DEMOCRACIA DE AMAZONAS,388
10204,AMAZONAS,BAGUA,EL PARCO,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,116
10204,AMAZONAS,BAGUA,EL PARCO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,215
10204,AMAZONAS,BAGUA,EL PARCO,PARTIDO POPULAR CRISTIANO - PPC,9
10204,AMAZONAS,BAGUA,EL PARCO,SENTIMIENTO AMAZONENSE REGIONAL,760
10206,AMAZONAS,BAGUA,IMAZA,ACCION POPULAR,541
10206,AMAZONAS,BAGUA,IMAZA,ALIANZA PARA EL PROGRESO,1159
10206,AMAZONAS,BAGUA,IMAZA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",140
10206,AMAZONAS,BAGUA,IMAZA,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,1505
10206,AMAZONAS,BAGUA,IMAZA,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,734
10206,AMAZONAS,BAGUA,IMAZA,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,1117
10206,AMAZONAS,BAGUA,IMAZA,OBRAS POR AMAZONAS,239
10206,AMAZONAS,BAGUA,IMAZA,PARTIDO DEMOCRATICO SOMOS PERU,497
10206,AMAZONAS,BAGUA,IMAZA,PARTIDO HUMANISTA PERUANO,239
