UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO_ELECCION,MESA,ESTADO_MESA,UBICACION_EN_CEDULA,TIPO_AGRUPACION,CODIGO_AGRUPACION,AGRUPACION_POLITICA,VOTOS_OBTENIDOS,ELECTORES_HABILES,VOTOS_BLANCOS,VOTOS_NULOS,VOTOS_IMPUG
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,243,CONTABILIZADAS NORMALES,5,DISTRITAL,2626,MAYORIA DE INTEGRACION INDIGENA Y CAMPESINO,38,215,23,2,0
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,243,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,23,215,23,2,0
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,243,CONTABILIZADAS NORMALES,7,LISTA INDEPENDIENTE,24010000,PARTIDO NACIONALISTA PERUANO,0,215,23,2,0
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,243,CONTABILIZADAS NORMALES,8,LISTA INDEPENDIENTE,24100000,ALIANZA ELECTORAL UNIDAD NACIONAL,0,215,23,2,0
250103,UCAYALI,CORONEL PORTILLO,MASISEA,MUNICIPAL DISTRITAL,251,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,1952,UCAYALI DIGNIDAD,2,240,51,5,0
250103,UCAYALI,CORONEL PORTILLO,MASISEA,MUNICIPAL DISTRITAL,251,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2116,INTEGRANDO UCAYALI,54,240,51,5,0
250103,UCAYALI,CORONEL PORTILLO,MASISEA,MUNICIPAL DISTRITAL,251,CONTABILIZADAS NORMALES,3,PARTIDO POLITICO,2233,MOVIMIENTO AGRARIO POPULAR UCAYALINO,63,240,51,5,0
250103,UCAYALI,CORONEL PORTILLO,MASISEA,MUNICIPAL DISTRITAL,251,CONTABILIZADAS NORMALES,4,LISTA INDEPENDIENTE,23690000,UNION POR EL PERU,11,240,51,5,0
250103,UCAYALI,CORONEL PORTILLO,MASISEA,MUNICIPAL DISTRITAL,251,CONTABILIZADAS NORMALES,5,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,4,240,51,5,0
250103,UCAYALI,CORONEL PORTILLO,MASISEA,MUNICIPAL DISTRITAL,251,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,24010000,PARTIDO NACIONALISTA PERUANO,30,240,51,5,0
250102,UCAYALI,CORONEL PORTILLO,YARINACOCHA,MUNICIPAL DISTRITAL,259,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,1952,UCAYALI DIGNIDAD,3,144,12,8,0
250102,UCAYALI,CORONEL PORTILLO,YARINACOCHA,MUNICIPAL DISTRITAL,259,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2097,ESFUERZO UNIDOS,18,144,12,8,0
250102,UCAYALI,CORONEL PORTILLO,YARINACOCHA,MUNICIPAL DISTRITAL,259,CONTABILIZADAS NORMALES,3,PARTIDO POLITICO,2116,INTEGRANDO UCAYALI,26,144,12,8,0
250102,UCAYALI,CORONEL PORTILLO,YARINACOCHA,MUNICIPAL DISTRITAL,259,CONTABILIZADAS NORMALES,4,PARTIDO POLITICO,2233,MOVIMIENTO AGRARIO POPULAR UCAYALINO,21,144,12,8,0
250102,UCAYALI,CORONEL PORTILLO,YARINACOCHA,MUNICIPAL DISTRITAL,259,CONTABILIZADAS NORMALES,5,LISTA INDEPENDIENTE,23510000,ACCION POPULAR,31,144,12,8,0
250102,UCAYALI,CORONEL PORTILLO,YARINACOCHA,MUNICIPAL DISTRITAL,259,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,23690000,UNION POR EL PERU,1,144,12,8,0
250102,UCAYALI,CORONEL PORTILLO,YARINACOCHA,MUNICIPAL DISTRITAL,259,CONTABILIZADAS NORMALES,7,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,5,144,12,8,0
250102,UCAYALI,CORONEL PORTILLO,YARINACOCHA,MUNICIPAL DISTRITAL,259,CONTABILIZADAS NORMALES,8,LISTA INDEPENDIENTE,23860000,PERU POSIBLE,0,144,12,8,0
250102,UCAYALI,CORONEL PORTILLO,YARINACOCHA,MUNICIPAL DISTRITAL,259,CONTABILIZADAS NORMALES,9,LISTA INDEPENDIENTE,23950000,RESTAURACION NACIONAL,0,144,12,8,0
250106,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,MUNICIPAL DISTRITAL,599,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,2105,UCAYALI REGION CON FUTURO,17,163,14,11,0
250106,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,MUNICIPAL DISTRITAL,599,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2116,INTEGRANDO UCAYALI,14,163,14,11,0
250106,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,MUNICIPAL DISTRITAL,599,CONTABILIZADAS NORMALES,3,PARTIDO POLITICO,2233,MOVIMIENTO AGRARIO POPULAR UCAYALINO,29,163,14,11,0
250106,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,MUNICIPAL DISTRITAL,599,CONTABILIZADAS NORMALES,4,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,8,163,14,11,0
250106,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,MUNICIPAL DISTRITAL,599,CONTABILIZADAS NORMALES,5,LISTA INDEPENDIENTE,23860000,PERU POSIBLE,50,163,14,11,0
250106,UCAYALI,CORONEL PORTILLO,NUEVA REQUENA,MUNICIPAL DISTRITAL,599,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,24010000,PARTIDO NACIONALISTA PERUANO,3,163,14,11,0
250304,UCAYALI,ATALAYA,SEPAHUA,MUNICIPAL DISTRITAL,763,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,2097,ESFUERZO UNIDOS,37,215,10,5,0
250304,UCAYALI,ATALAYA,SEPAHUA,MUNICIPAL DISTRITAL,763,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2105,UCAYALI REGION CON FUTURO,48,215,10,5,0
250304,UCAYALI,ATALAYA,SEPAHUA,MUNICIPAL DISTRITAL,763,CONTABILIZADAS NORMALES,3,LISTA INDEPENDIENTE,23510000,ACCION POPULAR,44,215,10,5,0
250304,UCAYALI,ATALAYA,SEPAHUA,MUNICIPAL DISTRITAL,763,CONTABILIZADAS NORMALES,4,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,49,215,10,5,0
250302,UCAYALI,ATALAYA,TAHUANIA,MUNICIPAL DISTRITAL,765,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,2097,ESFUERZO UNIDOS,4,155,21,8,0
250302,UCAYALI,ATALAYA,TAHUANIA,MUNICIPAL DISTRITAL,765,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2105,UCAYALI REGION CON FUTURO,35,155,21,8,0
250302,UCAYALI,ATALAYA,TAHUANIA,MUNICIPAL DISTRITAL,765,CONTABILIZADAS NORMALES,3,PARTIDO POLITICO,2116,INTEGRANDO UCAYALI,9,155,21,8,0
250302,UCAYALI,ATALAYA,TAHUANIA,MUNICIPAL DISTRITAL,765,CONTABILIZADAS NORMALES,4,LISTA INDEPENDIENTE,23510000,ACCION POPULAR,22,155,21,8,0
250302,UCAYALI,ATALAYA,TAHUANIA,MUNICIPAL DISTRITAL,765,CONTABILIZADAS NORMALES,5,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,27,155,21,8,0
250302,UCAYALI,ATALAYA,TAHUANIA,MUNICIPAL DISTRITAL,765,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,24100000,ALIANZA ELECTORAL UNIDAD NACIONAL,2,155,21,8,0
250303,UCAYALI,ATALAYA,YURUA,MUNICIPAL DISTRITAL,775,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,2097,ESFUERZO UNIDOS,35,178,3,5,0
250303,UCAYALI,ATALAYA,YURUA,MUNICIPAL DISTRITAL,775,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2116,INTEGRANDO UCAYALI,49,178,3,5,0
250303,UCAYALI,ATALAYA,YURUA,MUNICIPAL DISTRITAL,775,CONTABILIZADAS NORMALES,3,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,30,178,3,5,0
250303,UCAYALI,ATALAYA,YURUA,MUNICIPAL DISTRITAL,775,CONTABILIZADAS NORMALES,4,LISTA INDEPENDIENTE,24010000,PARTIDO NACIONALISTA PERUANO,23,178,3,5,0
250202,UCAYALI,PADRE ABAD,IRAZOLA,MUNICIPAL DISTRITAL,870,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,2097,ESFUERZO UNIDOS,10,194,22,15,0
250202,UCAYALI,PADRE ABAD,IRAZOLA,MUNICIPAL DISTRITAL,870,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2105,UCAYALI REGION CON FUTURO,0,194,22,15,0
250202,UCAYALI,PADRE ABAD,IRAZOLA,MUNICIPAL DISTRITAL,870,CONTABILIZADAS NORMALES,3,PARTIDO POLITICO,2116,INTEGRANDO UCAYALI,39,194,22,15,0
250202,UCAYALI,PADRE ABAD,IRAZOLA,MUNICIPAL DISTRITAL,870,CONTABILIZADAS NORMALES,4,PARTIDO POLITICO,2233,MOVIMIENTO AGRARIO POPULAR UCAYALINO,36,194,22,15,0
250202,UCAYALI,PADRE ABAD,IRAZOLA,MUNICIPAL DISTRITAL,870,CONTABILIZADAS NORMALES,5,LISTA INDEPENDIENTE,23690000,UNION POR EL PERU,1,194,22,15,0
250202,UCAYALI,PADRE ABAD,IRAZOLA,MUNICIPAL DISTRITAL,870,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,19,194,22,15,0
250202,UCAYALI,PADRE ABAD,IRAZOLA,MUNICIPAL DISTRITAL,870,CONTABILIZADAS NORMALES,7,LISTA INDEPENDIENTE,24010000,PARTIDO NACIONALISTA PERUANO,26,194,22,15,0
250203,UCAYALI,PADRE ABAD,CURIMANA,MUNICIPAL DISTRITAL,944,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,2097,ESFUERZO UNIDOS,27,187,10,3,0
250203,UCAYALI,PADRE ABAD,CURIMANA,MUNICIPAL DISTRITAL,944,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2105,UCAYALI REGION CON FUTURO,46,187,10,3,0
250203,UCAYALI,PADRE ABAD,CURIMANA,MUNICIPAL DISTRITAL,944,CONTABILIZADAS NORMALES,3,PARTIDO POLITICO,2116,INTEGRANDO UCAYALI,53,187,10,3,0
250203,UCAYALI,PADRE ABAD,CURIMANA,MUNICIPAL DISTRITAL,944,CONTABILIZADAS NORMALES,4,PARTIDO POLITICO,2233,MOVIMIENTO AGRARIO POPULAR UCAYALINO,10,187,10,3,0
250203,UCAYALI,PADRE ABAD,CURIMANA,MUNICIPAL DISTRITAL,944,CONTABILIZADAS NORMALES,5,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,18,187,10,3,0
250203,UCAYALI,PADRE ABAD,CURIMANA,MUNICIPAL DISTRITAL,944,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,24010000,PARTIDO NACIONALISTA PERUANO,7,187,10,3,0
230103,TUMBES,TUMBES,LA CRUZ,MUNICIPAL DISTRITAL,1085,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,1924,MOVIMIENTO INDEPENDIENTE REGIONAL FAENA,11,148,9,7,0
230103,TUMBES,TUMBES,LA CRUZ,MUNICIPAL DISTRITAL,1085,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2114,RECONSTRUCCION CON OBRAS MAS OBRAS PARA UN TUMBES BELLO,24,148,9,7,0
230103,TUMBES,TUMBES,LA CRUZ,MUNICIPAL DISTRITAL,1085,CONTABILIZADAS NORMALES,3,PARTIDO POLITICO,2276,HACIA UN TUMBES DIFERENTE,15,148,9,7,0
230103,TUMBES,TUMBES,LA CRUZ,MUNICIPAL DISTRITAL,1085,CONTABILIZADAS NORMALES,4,LISTA INDEPENDIENTE,23700000,ALIANZA PARA EL PROGRESO,4,148,9,7,0
230103,TUMBES,TUMBES,LA CRUZ,MUNICIPAL DISTRITAL,1085,CONTABILIZADAS NORMALES,5,LISTA INDEPENDIENTE,23730000,PARTIDO DEMOCRATICO SOMOS PERU,30,148,9,7,0
230103,TUMBES,TUMBES,LA CRUZ,MUNICIPAL DISTRITAL,1085,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,23810000,AGRUPACION INDEPENDIENTE SI CUMPLE,4,148,9,7,0
230103,TUMBES,TUMBES,LA CRUZ,MUNICIPAL DISTRITAL,1085,CONTABILIZADAS NORMALES,7,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,24,148,9,7,0
230103,TUMBES,TUMBES,LA CRUZ,MUNICIPAL DISTRITAL,1085,CONTABILIZADAS NORMALES,8,LISTA INDEPENDIENTE,24100000,ALIANZA ELECTORAL UNIDAD NACIONAL,15,148,9,7,0
230105,TUMBES,TUMBES,SAN JACINTO,MUNICIPAL DISTRITAL,1108,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,1924,MOVIMIENTO INDEPENDIENTE REGIONAL FAENA,8,166,8,8,0
230105,TUMBES,TUMBES,SAN JACINTO,MUNICIPAL DISTRITAL,1108,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2114,RECONSTRUCCION CON OBRAS MAS OBRAS PARA UN TUMBES BELLO,32,166,8,8,0
230105,TUMBES,TUMBES,SAN JACINTO,MUNICIPAL DISTRITAL,1108,CONTABILIZADAS NORMALES,3,DISTRITAL,2526,SAN JACINTO EN ACCION ,4,166,8,8,0
230105,TUMBES,TUMBES,SAN JACINTO,MUNICIPAL DISTRITAL,1108,CONTABILIZADAS NORMALES,4,LISTA INDEPENDIENTE,23700000,ALIANZA PARA EL PROGRESO,9,166,8,8,0
230105,TUMBES,TUMBES,SAN JACINTO,MUNICIPAL DISTRITAL,1108,CONTABILIZADAS NORMALES,5,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,68,166,8,8,0
230105,TUMBES,TUMBES,SAN JACINTO,MUNICIPAL DISTRITAL,1108,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,24010000,PARTIDO NACIONALISTA PERUANO,8,166,8,8,0
230105,TUMBES,TUMBES,SAN JACINTO,MUNICIPAL DISTRITAL,1108,CONTABILIZADAS NORMALES,7,LISTA INDEPENDIENTE,24100000,ALIANZA ELECTORAL UNIDAD NACIONAL,10,166,8,8,0
230102,TUMBES,TUMBES,CORRALES,MUNICIPAL DISTRITAL,1111,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,1899,TODOS POR TUMBES,52,147,9,3,0
230102,TUMBES,TUMBES,CORRALES,MUNICIPAL DISTRITAL,1111,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2276,HACIA UN TUMBES DIFERENTE,1,147,9,3,0
230102,TUMBES,TUMBES,CORRALES,MUNICIPAL DISTRITAL,1111,CONTABILIZADAS NORMALES,3,DISTRITAL,2515,FRENTE DESARROLLO DE CORRALES,43,147,9,3,0
230102,TUMBES,TUMBES,CORRALES,MUNICIPAL DISTRITAL,1111,CONTABILIZADAS NORMALES,4,DISTRITAL,2755,FRENTE ACTIVO DE INTEGRACION COMUNAL,21,147,9,3,0
230102,TUMBES,TUMBES,CORRALES,MUNICIPAL DISTRITAL,1111,CONTABILIZADAS NORMALES,5,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,8,147,9,3,0
230102,TUMBES,TUMBES,CORRALES,MUNICIPAL DISTRITAL,1111,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,23860000,PERU POSIBLE,3,147,9,3,0
230102,TUMBES,TUMBES,CORRALES,MUNICIPAL DISTRITAL,1111,CONTABILIZADAS NORMALES,7,LISTA INDEPENDIENTE,23950000,RESTAURACION NACIONAL,0,147,9,3,0
230102,TUMBES,TUMBES,CORRALES,MUNICIPAL DISTRITAL,1111,CONTABILIZADAS NORMALES,8,LISTA INDEPENDIENTE,23970000,PARTIDO MOVIMIENTO HUMANISTA PERUANO,2,147,9,3,0
230104,TUMBES,TUMBES,PAMPAS DE HOSPITAL,MUNICIPAL DISTRITAL,1149,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,2276,HACIA UN TUMBES DIFERENTE,54,169,22,0,0
230104,TUMBES,TUMBES,PAMPAS DE HOSPITAL,MUNICIPAL DISTRITAL,1149,CONTABILIZADAS NORMALES,2,DISTRITAL,2800,LISTA INDEPENDIENTE EL GALLO,23,169,22,0,0
230104,TUMBES,TUMBES,PAMPAS DE HOSPITAL,MUNICIPAL DISTRITAL,1149,CONTABILIZADAS NORMALES,3,LISTA INDEPENDIENTE,23810000,AGRUPACION INDEPENDIENTE SI CUMPLE,12,169,22,0,0
230104,TUMBES,TUMBES,PAMPAS DE HOSPITAL,MUNICIPAL DISTRITAL,1149,CONTABILIZADAS NORMALES,4,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,46,169,22,0,0
230106,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,MUNICIPAL DISTRITAL,1173,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,1924,MOVIMIENTO INDEPENDIENTE REGIONAL FAENA,5,146,15,9,0
230106,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,MUNICIPAL DISTRITAL,1173,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2114,RECONSTRUCCION CON OBRAS MAS OBRAS PARA UN TUMBES BELLO,26,146,15,9,0
230106,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,MUNICIPAL DISTRITAL,1173,CONTABILIZADAS NORMALES,3,PARTIDO POLITICO,2261,NUEVA ALTERNATIVA,6,146,15,9,0
230106,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,MUNICIPAL DISTRITAL,1173,CONTABILIZADAS NORMALES,4,PARTIDO POLITICO,2276,HACIA UN TUMBES DIFERENTE,25,146,15,9,0
230106,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,MUNICIPAL DISTRITAL,1173,CONTABILIZADAS NORMALES,5,LISTA INDEPENDIENTE,23510000,ACCION POPULAR,2,146,15,9,0
230106,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,MUNICIPAL DISTRITAL,1173,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,23690000,UNION POR EL PERU,9,146,15,9,0
230106,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,MUNICIPAL DISTRITAL,1173,CONTABILIZADAS NORMALES,7,LISTA INDEPENDIENTE,23730000,PARTIDO DEMOCRATICO SOMOS PERU,18,146,15,9,0
230106,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,MUNICIPAL DISTRITAL,1173,CONTABILIZADAS NORMALES,8,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,21,146,15,9,0
230202,TUMBES,CONTRALMIRANTE VILLAR,CASITAS,MUNICIPAL DISTRITAL,1621,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,1924,MOVIMIENTO INDEPENDIENTE REGIONAL FAENA,5,148,4,4,0
230202,TUMBES,CONTRALMIRANTE VILLAR,CASITAS,MUNICIPAL DISTRITAL,1621,CONTABILIZADAS NORMALES,2,PROVINCIAL,2835,CAMBIO Y DESARROLLO,45,148,4,4,0
230202,TUMBES,CONTRALMIRANTE VILLAR,CASITAS,MUNICIPAL DISTRITAL,1621,CONTABILIZADAS NORMALES,3,PROVINCIAL,2934,LISTA INDEPENDIENTE PARA SEGUIR TRABAJANDO,44,148,4,4,0
230202,TUMBES,CONTRALMIRANTE VILLAR,CASITAS,MUNICIPAL DISTRITAL,1621,CONTABILIZADAS NORMALES,4,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,39,148,4,4,0
230302,TUMBES,ZARUMILLA,MATAPALO,MUNICIPAL DISTRITAL,1827,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,2261,NUEVA ALTERNATIVA,23,149,8,7,0
230302,TUMBES,ZARUMILLA,MATAPALO,MUNICIPAL DISTRITAL,1827,CONTABILIZADAS NORMALES,2,PROVINCIAL,2882,PUEBLO Y FUERZA AGRARIA,23,149,8,7,0
230302,TUMBES,ZARUMILLA,MATAPALO,MUNICIPAL DISTRITAL,1827,CONTABILIZADAS NORMALES,3,LISTA INDEPENDIENTE,23510000,ACCION POPULAR,25,149,8,7,0
230302,TUMBES,ZARUMILLA,MATAPALO,MUNICIPAL DISTRITAL,1827,CONTABILIZADAS NORMALES,4,LISTA INDEPENDIENTE,23690000,UNION POR EL PERU,12,149,8,7,0
230302,TUMBES,ZARUMILLA,MATAPALO,MUNICIPAL DISTRITAL,1827,CONTABILIZADAS NORMALES,5,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,9,149,8,7,0
230302,TUMBES,ZARUMILLA,MATAPALO,MUNICIPAL DISTRITAL,1827,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,23860000,PERU POSIBLE,9,149,8,7,0
230302,TUMBES,ZARUMILLA,MATAPALO,MUNICIPAL DISTRITAL,1827,CONTABILIZADAS NORMALES,7,LISTA INDEPENDIENTE,24010000,PARTIDO NACIONALISTA PERUANO,27,149,8,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,1924,MOVIMIENTO INDEPENDIENTE REGIONAL FAENA,6,151,3,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2114,RECONSTRUCCION CON OBRAS MAS OBRAS PARA UN TUMBES BELLO,25,151,3,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,3,DISTRITAL,2580,ATREVETE AL CAMBIO,13,151,3,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,4,DISTRITAL,2607,POR UN PUEBLO UNIDO - PAPAYAL,24,151,3,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,5,PROVINCIAL,2882,PUEBLO Y FUERZA AGRARIA,32,151,3,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,23510000,ACCION POPULAR,11,151,3,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,7,LISTA INDEPENDIENTE,23620000,MOVIMIENTO NUEVA IZQUIERDA,7,151,3,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,8,LISTA INDEPENDIENTE,23690000,UNION POR EL PERU,5,151,3,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,9,LISTA INDEPENDIENTE,23810000,AGRUPACION INDEPENDIENTE SI CUMPLE,3,151,3,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,10,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,3,151,3,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,11,LISTA INDEPENDIENTE,23950000,RESTAURACION NACIONAL,4,151,3,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,12,LISTA INDEPENDIENTE,24010000,PARTIDO NACIONALISTA PERUANO,1,151,3,7,0
230303,TUMBES,ZARUMILLA,PAPAYAL,MUNICIPAL DISTRITAL,1831,CONTABILIZADAS NORMALES,13,LISTA INDEPENDIENTE,24100000,ALIANZA ELECTORAL UNIDAD NACIONAL,4,151,3,7,0
