UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO_ELECCION,MESA,ESTADO_MESA,UBICACION_EN_CEDULA,TIPO_AGRUPACION,CODIGO_AGRUPACION,AGRUPACION_POLITICA,VOTOS_OBTENIDOS,ELECTORES_HABILES,VOTOS_BLANCOS,VOTOS_NULOS,VOTOS_IMPUG
250104,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,MUNICIPAL DISTRITAL,63,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,2097,ESFUERZO UNIDOS,4,128,9,6,0
250104,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,MUNICIPAL DISTRITAL,63,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2105,UCAYALI REGION CON FUTURO,28,128,9,6,0
250104,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,MUNICIPAL DISTRITAL,63,CONTABILIZADAS NORMALES,3,PARTIDO POLITICO,2233,MOVIMIENTO AGRARIO POPULAR UCAYALINO,16,128,9,6,0
250104,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,MUNICIPAL DISTRITAL,63,CONTABILIZADAS NORMALES,4,LISTA INDEPENDIENTE,23510000,ACCION POPULAR,2,128,9,6,0
250104,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,MUNICIPAL DISTRITAL,63,CONTABILIZADAS NORMALES,5,LISTA INDEPENDIENTE,23690000,UNION POR EL PERU,6,128,9,6,0
250104,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,MUNICIPAL DISTRITAL,63,CONTABILIZADAS NORMALES,6,LISTA INDEPENDIENTE,23700000,ALIANZA PARA EL PROGRESO,30,128,9,6,0
250104,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,MUNICIPAL DISTRITAL,63,CONTABILIZADAS NORMALES,7,LISTA INDEPENDIENTE,23810000,AGRUPACION INDEPENDIENTE SI CUMPLE,0,128,9,6,0
250104,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,MUNICIPAL DISTRITAL,63,CONTABILIZADAS NORMALES,8,LISTA INDEPENDIENTE,23820000,PARTIDO APRISTA PERUANO,9,128,9,6,0
250104,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,MUNICIPAL DISTRITAL,63,CONTABILIZADAS NORMALES,9,LISTA INDEPENDIENTE,24100000,ALIANZA ELECTORAL UNIDAD NACIONAL,5,128,9,6,0
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,243,CONTABILIZADAS NORMALES,1,PARTIDO POLITICO,1952,UCAYALI DIGNIDAD,2,215,23,2,0
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,243,CONTABILIZADAS NORMALES,2,PARTIDO POLITICO,2097,ESFUERZO UNIDOS,50,215,23,2,0
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,243,CONTABILIZADAS NORMALES,3,PARTIDO POLITICO,2116,INTEGRANDO UCAYALI,35,215,23,2,0
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,243,CONTABILIZADAS NORMALES,4,PARTIDO POLITICO,2233,MOVIMIENTO AGRARIO POPULAR UCAYALINO,7,215,23,2,0
