UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO_ELECCION,MESA,ESTADO_MESA,UBICACION_EN_CEDULA,TIPO_AGRUPACION,CODIGO_AGRUPACION,AGRUPACION_POLITICA,VOTOS_OBTENIDOS,ELECTORES_HABILES,VOTOS_BLANCOS,VOTOS_NULOS,VOTOS_IMPUG
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,247,ACTA ELECTORAL NORMAL,1,REGIONAL,193,ESFUERZOS UNIDOS,57,264,31,6,0
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,247,ACTA ELECTORAL NORMAL,2,NACIONAL,23660000,ALIANZA PARA EL PROGRESO,15,264,31,6,0
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,247,ACTA ELECTORAL NORMAL,3,NACIONAL,23800000,FUERZA POPULAR,1,264,31,6,0
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,247,ACTA ELECTORAL NORMAL,4,DISTRITAL,244,MOVIMIENTO INDEPENDIENTE DE INTEGRACION POR IPARIA MIII,30,264,31,6,0
250105,UCAYALI,CORONEL PORTILLO,IPARIA,MUNICIPAL DISTRITAL,247,ACTA ELECTORAL NORMAL,5,REGIONAL,29,MOVIMIENTO INDEPENDIENTE REGIONAL CAMBIO UCAYALINO,26,264,31,6,0
250103,UCAYALI,CORONEL PORTILLO,MASISEA,MUNICIPAL DISTRITAL,251,ACTA ELECTORAL NORMAL,1,REGIONAL,41,TODOS SOMOS UCAYALI,65,222,20,5,0
250103,UCAYALI,CORONEL PORTILLO,MASISEA,MUNICIPAL DISTRITAL,251,ACTA ELECTORAL NORMAL,2,REGIONAL,190,BLOQUE POPULAR UCAYALI,2,222,20,5,0
250103,UCAYALI,CORONEL PORTILLO,MASISEA,MUNICIPAL DISTRITAL,251,ACTA ELECTORAL NORMAL,3,REGIONAL,198,MOVIMIENTO POLITICO REGIONAL FUERZA UCAYALINA (FU),1,222,20,5,0
250103,UCAYALI,CORONEL PORTILLO,MASISEA,MUNICIPAL DISTRITAL,251,ACTA ELECTORAL NORMAL,4,NACIONAL,23800000,FUERZA POPULAR,4,222,20,5,0
250103,UCAYALI,CORONEL PORTILLO,MASISEA,MUNICIPAL DISTRITAL,251,ACTA ELECTORAL NORMAL,5,REGIONAL,29,MOVIMIENTO INDEPENDIENTE REGIONAL CAMBIO UCAYALINO,34,222,20,5,0
250103,UCAYALI,CORONEL PORTILLO,MASISEA,MUNICIPAL DISTRITAL,251,ACTA ELECTORAL NORMAL,6,REGIONAL,101,UCAYALI REGION CON  FUTURO,40,222,20,5,0
