ubigeo,region,provincia,distrito,organizacion_politica,total_votos
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,ASUNCION AL DESARROLLO,15
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,FUERZA DEMOCRATICA,34
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,26
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,PARTIDO ACCION POPULAR,8
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,PARTIDO APRISTA PERUANO,30
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,PARTIDO PERU POSIBLE,17
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,VICTORIA AMAZONENSE,21
10103,AMAZONAS,CHACHAPOYAS,BALSAS,INTEGRACION 6 DE JUNIO,108
10103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,220
10103,AMAZONAS,CHACHAPOYAS,BALSAS,PARTIDO APRISTA PERUANO,14
10103,AMAZONAS,CHACHAPOYAS,BALSAS,PARTIDO PERU POSIBLE,58
10104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,75
10104,AMAZONAS,CHACHAPOYAS,CHETO,PARTIDO ACCION POPULAR,29
10104,AMAZONAS,CHACHAPOYAS,CHETO,PARTIDO APRISTA PERUANO,113
10104,AMAZONAS,CHACHAPOYAS,CHETO,PARTIDO PERU POSIBLE,83
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,126
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,PARTIDO APRISTA PERUANO,250
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,PARTIDO PERU POSIBLE,22
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,168
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,PARTIDO ACCION POPULAR,136
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,PARTIDO APRISTA PERUANO,51
10106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,PARTIDO PERU POSIBLE,229
10107,AMAZONAS,CHACHAPOYAS,GRANADA,INTEGRACION 6 DE JUNIO,42
10107,AMAZONAS,CHACHAPOYAS,GRANADA,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,28
10107,AMAZONAS,CHACHAPOYAS,GRANADA,PARTIDO ACCION POPULAR,50
10107,AMAZONAS,CHACHAPOYAS,GRANADA,PARTIDO PERU POSIBLE,38
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,ALIANZA ELECTORAL UNIDAD NACIONAL,36
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO INDEPENDIENTE HUANCAS,43
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO NUEVA IZQUIERDA,25
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,37
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,PARTIDO ACCION POPULAR,46
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,PARTIDO APRISTA PERUANO,37
10108,AMAZONAS,CHACHAPOYAS,HUANCAS,PARTIDO PERU POSIBLE,39
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,MOVIMIENTO NUEVA IZQUIERDA,50
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,365
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,PARTIDO ACCION POPULAR,151
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,PARTIDO APRISTA PERUANO,634
10109,AMAZONAS,CHACHAPOYAS,LA JALCA,PARTIDO PERU POSIBLE,550
10110,AMAZONAS,CHACHAPOYAS,LEYMEBAMBA,MOVIMIENTO NUEVA IZQUIERDA,101
10110,AMAZONAS,CHACHAPOYAS,LEYMEBAMBA,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,313
10110,AMAZONAS,CHACHAPOYAS,LEYMEBAMBA,PARTIDO ACCION POPULAR,141
10110,AMAZONAS,CHACHAPOYAS,LEYMEBAMBA,PARTIDO APRISTA PERUANO,421
10110,AMAZONAS,CHACHAPOYAS,LEYMEBAMBA,PARTIDO PERU POSIBLE,367
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,125
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,PARTIDO ACCION POPULAR,134
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,PARTIDO APRISTA PERUANO,73
10111,AMAZONAS,CHACHAPOYAS,LEVANTO,PARTIDO PERU POSIBLE,124
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,ALIANZA ELECTORAL UNIDAD NACIONAL,28
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,MOVIMIENTO NUEVA IZQUIERDA,6
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,125
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,PARTIDO APRISTA PERUANO,217
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,PARTIDO PERU POSIBLE,42
10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,VICTORIA AMAZONENSE,18
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,ADELANTE MARISCAL CASTILLA,237
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,MOVIMIENTO NUEVA IZQUIERDA,31
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,221
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,PARTIDO ACCION POPULAR,29
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,PARTIDO APRISTA PERUANO,22
10113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,PARTIDO PERU POSIBLE,43
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,ALIANZA ELECTORAL UNIDAD NACIONAL,98
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOVIMIENTO NUEVA IZQUIERDA,50
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,264
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,PARTIDO ACCION POPULAR,102
10114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,PARTIDO APRISTA PERUANO,281
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,HIJOS DE MONTEVIDEO,25
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,138
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,PARTIDO ACCION POPULAR,6
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,PARTIDO APRISTA PERUANO,190
10115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,PARTIDO PERU POSIBLE,47
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,MOVIMIENTO POLITICO INDEPENDIENTE FUERZA AMAZONENSE,64
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,PARTIDO ACCION POPULAR,32
10116,AMAZONAS,CHACHAPOYAS,OLLEROS,PARTIDO APRISTA PERUANO,18
