ubigeo,region,provincia,distrito,organizacion_politica,total_votos
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,ACCION POPULAR,1768
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,AGRUPACION INDEPENDIENTE SI CUMPLE,1604
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,FUERZA DEMOCRATICA,2413
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,922
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PARTIDO APRISTA PERUANO,744
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PARTIDO NACIONALISTA PERUANO,3289
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,ACCION POPULAR,53
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,AGRUPACION INDEPENDIENTE SI CUMPLE,3
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,FUERZA DEMOCRATICA,83
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,38
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,PARTIDO APRISTA PERUANO,11
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,PARTIDO NACIONALISTA PERUANO,7
10103,AMAZONAS,CHACHAPOYAS,BALSAS,ACCION POPULAR,76
10103,AMAZONAS,CHACHAPOYAS,BALSAS,AGRUPACION INDEPENDIENTE SI CUMPLE,117
10103,AMAZONAS,CHACHAPOYAS,BALSAS,FUERZA DEMOCRATICA,47
10103,AMAZONAS,CHACHAPOYAS,BALSAS,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,11
10103,AMAZONAS,CHACHAPOYAS,BALSAS,PARTIDO APRISTA PERUANO,175
10103,AMAZONAS,CHACHAPOYAS,BALSAS,PARTIDO NACIONALISTA PERUANO,74
10104,AMAZONAS,CHACHAPOYAS,CHETO,ACCION POPULAR,54
10104,AMAZONAS,CHACHAPOYAS,CHETO,AGRUPACION INDEPENDIENTE SI CUMPLE,30
10104,AMAZONAS,CHACHAPOYAS,CHETO,FUERZA DEMOCRATICA,100
10104,AMAZONAS,CHACHAPOYAS,CHETO,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,10
10104,AMAZONAS,CHACHAPOYAS,CHETO,PARTIDO APRISTA PERUANO,70
10104,AMAZONAS,CHACHAPOYAS,CHETO,PARTIDO NACIONALISTA PERUANO,45
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,ACCION POPULAR,48
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,AGRUPACION INDEPENDIENTE SI CUMPLE,39
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,FUERZA DEMOCRATICA,9
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,17
10105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,PARTIDO APRISTA PERUANO,173
