ubigeo,region,provincia,distrito,organizacion_politica,total_votos
010101,Amazonas,Chachapoyas,Chachapoyas,SENTIMIENTO AMAZONENSE REGIONAL,4936
010101,Amazonas,Chachapoyas,Chachapoyas,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,2065
010101,Amazonas,Chachapoyas,Chachapoyas,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,556
010101,Amazonas,Chachapoyas,Chachapoyas,JUNTOS POR EL PERU,1403
010101,Amazonas,Chachapoyas,Chachapoyas,RENOVACION POPULAR,2814
010101,Amazonas,Chachapoyas,Chachapoyas,ALIANZA PARA EL PROGRESO,1062
010101,Amazonas,Chachapoyas,Chachapoyas,PARTIDO MORADO,89
010102,Amazonas,Chachapoyas,Asunción,SENTIMIENTO AMAZONENSE REGIONAL,29
010102,Amazonas,Chachapoyas,Asunción,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,89
010102,Amazonas,Chachapoyas,Asunción,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,1
010102,Amazonas,Chachapoyas,Asunción,JUNTOS POR EL PERU,11
010102,Amazonas,Chachapoyas,Asunción,RENOVACION POPULAR,12
010102,Amazonas,Chachapoyas,Asunción,ALIANZA PARA EL PROGRESO,110
010102,Amazonas,Chachapoyas,Asunción,PARTIDO MORADO,1
010103,Amazonas,Chachapoyas,Balsas,SENTIMIENTO AMAZONENSE REGIONAL,175
010103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO REGIONAL VICTORIA AMAZONENSE,65
010103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,1
010103,Amazonas,Chachapoyas,Balsas,JUNTOS POR EL PERU,7
010103,Amazonas,Chachapoyas,Balsas,RENOVACION POPULAR,200
010103,Amazonas,Chachapoyas,Balsas,ALIANZA PARA EL PROGRESO,309
010103,Amazonas,Chachapoyas,Balsas,PARTIDO MORADO,1
