ubigeo,region,provincia,distrito,organizacion_politica,total_votos,partido_regional
10102,Amazonas,Chachapoyas,Asunción,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,137,1
10102,Amazonas,Chachapoyas,Asunción,SENTIMIENTO AMAZONENSE REGIONAL,100,1
10103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,245,1
10103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,22,1
10103,Amazonas,Chachapoyas,Balsas,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,51,1
10103,Amazonas,Chachapoyas,Balsas,SENTIMIENTO AMAZONENSE REGIONAL,337,1
10103,Amazonas,Chachapoyas,Balsas,ALIANZA PARA EL PROGRESO,84,1
10104,Amazonas,Chachapoyas,Cheto,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,186,1
10104,Amazonas,Chachapoyas,Cheto,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,106,1
10104,Amazonas,Chachapoyas,Cheto,SENTIMIENTO AMAZONENSE REGIONAL,158,1
10105,Amazonas,Chachapoyas,Chiliquin,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,123,1
10105,Amazonas,Chachapoyas,Chiliquin,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,211,1
10105,Amazonas,Chachapoyas,Chiliquin,SENTIMIENTO AMAZONENSE REGIONAL,153,1
10106,Amazonas,Chachapoyas,Chuquibamba,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,165,1
10106,Amazonas,Chachapoyas,Chuquibamba,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,293,1
10106,Amazonas,Chachapoyas,Chuquibamba,SENTIMIENTO AMAZONENSE REGIONAL,381,1
10106,Amazonas,Chachapoyas,Chuquibamba,ALIANZA PARA EL PROGRESO,128,1
10107,Amazonas,Chachapoyas,Granada,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,172,1
10107,Amazonas,Chachapoyas,Granada,SENTIMIENTO AMAZONENSE REGIONAL,166,1
10108,Amazonas,Chachapoyas,Huancas,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,151,1
10108,Amazonas,Chachapoyas,Huancas,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,24,1
10108,Amazonas,Chachapoyas,Huancas,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,59,1
10108,Amazonas,Chachapoyas,Huancas,SENTIMIENTO AMAZONENSE REGIONAL,88,1
10109,Amazonas,Chachapoyas,La Jalca,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,342,1
10109,Amazonas,Chachapoyas,La Jalca,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,241,1
10109,Amazonas,Chachapoyas,La Jalca,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,80,1
10109,Amazonas,Chachapoyas,La Jalca,SENTIMIENTO AMAZONENSE REGIONAL,874,1
10109,Amazonas,Chachapoyas,La Jalca,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",80,1
10109,Amazonas,Chachapoyas,La Jalca,ALIANZA PARA EL PROGRESO,430,1
10109,Amazonas,Chachapoyas,La Jalca,FUERZA POPULAR,257,1
10109,Amazonas,Chachapoyas,La Jalca,PERUANOS POR EL KAMBIO,285,0
10110,Amazonas,Chachapoyas,Leimebamba,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,540,1
10110,Amazonas,Chachapoyas,Leimebamba,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,610,1
10110,Amazonas,Chachapoyas,Leimebamba,SENTIMIENTO AMAZONENSE REGIONAL,221,1
10110,Amazonas,Chachapoyas,Leimebamba,ALIANZA PARA EL PROGRESO,58,1
10110,Amazonas,Chachapoyas,Leimebamba,PARTIDO APRISTA PERUANO,238,0
10111,Amazonas,Chachapoyas,Levanto,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,283,1
10111,Amazonas,Chachapoyas,Levanto,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,92,1
10111,Amazonas,Chachapoyas,Levanto,SENTIMIENTO AMAZONENSE REGIONAL,336,1
10112,Amazonas,Chachapoyas,Magdalena,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,199,1
10112,Amazonas,Chachapoyas,Magdalena,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,56,1
10112,Amazonas,Chachapoyas,Magdalena,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,236,1
10112,Amazonas,Chachapoyas,Magdalena,ALIANZA PARA EL PROGRESO,29,1
10113,Amazonas,Chachapoyas,Mariscal Castilla,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,184,1
10113,Amazonas,Chachapoyas,Mariscal Castilla,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,177,1
10113,Amazonas,Chachapoyas,Mariscal Castilla,SENTIMIENTO AMAZONENSE REGIONAL,181,1
10114,Amazonas,Chachapoyas,Molinopampa,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,241,1
10114,Amazonas,Chachapoyas,Molinopampa,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,389,1
10114,Amazonas,Chachapoyas,Molinopampa,SENTIMIENTO AMAZONENSE REGIONAL,674,1
10115,Amazonas,Chachapoyas,Montevideo,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,45,1
10115,Amazonas,Chachapoyas,Montevideo,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,157,1
10115,Amazonas,Chachapoyas,Montevideo,SENTIMIENTO AMAZONENSE REGIONAL,207,1
10115,Amazonas,Chachapoyas,Montevideo,ACCION POPULAR,49,0
10116,Amazonas,Chachapoyas,Olleros,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,121,1
10116,Amazonas,Chachapoyas,Olleros,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,29,1
10116,Amazonas,Chachapoyas,Olleros,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,71,1
10116,Amazonas,Chachapoyas,Olleros,SENTIMIENTO AMAZONENSE REGIONAL,72,1
10117,Amazonas,Chachapoyas,Quinjalca,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,156,1
10117,Amazonas,Chachapoyas,Quinjalca,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,122,1
10117,Amazonas,Chachapoyas,Quinjalca,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,165,1
10117,Amazonas,Chachapoyas,Quinjalca,SENTIMIENTO AMAZONENSE REGIONAL,142,1
10118,Amazonas,Chachapoyas,San Francisco de Daguas,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,98,1
10118,Amazonas,Chachapoyas,San Francisco de Daguas,SENTIMIENTO AMAZONENSE REGIONAL,110,1
10118,Amazonas,Chachapoyas,San Francisco de Daguas,ALIANZA PARA EL PROGRESO,11,1
10119,Amazonas,Chachapoyas,San Isidro de Maino,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,29,1
10119,Amazonas,Chachapoyas,San Isidro de Maino,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,153,1
10119,Amazonas,Chachapoyas,San Isidro de Maino,SENTIMIENTO AMAZONENSE REGIONAL,95,1
10119,Amazonas,Chachapoyas,San Isidro de Maino,ALIANZA PARA EL PROGRESO,16,1
10119,Amazonas,Chachapoyas,San Isidro de Maino,FUERZA POPULAR,121,1
10120,Amazonas,Chachapoyas,Soloco,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,117,1
10120,Amazonas,Chachapoyas,Soloco,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,227,1
10120,Amazonas,Chachapoyas,Soloco,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,188,1
10120,Amazonas,Chachapoyas,Soloco,SENTIMIENTO AMAZONENSE REGIONAL,335,1
10121,Amazonas,Chachapoyas,Sonche,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,95,1
10121,Amazonas,Chachapoyas,Sonche,SENTIMIENTO AMAZONENSE REGIONAL,85,1
10121,Amazonas,Chachapoyas,Sonche,ALIANZA PARA EL PROGRESO,48,1
10201,Amazonas,Bagua,La Peca,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,1166,1
10201,Amazonas,Bagua,La Peca,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,1546,1
10201,Amazonas,Bagua,La Peca,SENTIMIENTO AMAZONENSE REGIONAL,1716,1
10201,Amazonas,Bagua,La Peca,MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA,105,1
10201,Amazonas,Bagua,La Peca,ALIANZA PARA EL PROGRESO,90,1
10201,Amazonas,Bagua,La Peca,FUERZA POPULAR,262,1
10202,Amazonas,Bagua,Aramango,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,643,1
10202,Amazonas,Bagua,Aramango,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,41,1
10202,Amazonas,Bagua,Aramango,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,413,1
10202,Amazonas,Bagua,Aramango,SENTIMIENTO AMAZONENSE REGIONAL,586,1
10202,Amazonas,Bagua,Aramango,MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA,248,1
10202,Amazonas,Bagua,Aramango,ALIANZA PARA EL PROGRESO,36,1
10202,Amazonas,Bagua,Aramango,FUERZA POPULAR,356,1
10203,Amazonas,Bagua,Copallin,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,589,1
10203,Amazonas,Bagua,Copallin,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,1008,1
10203,Amazonas,Bagua,Copallin,SENTIMIENTO AMAZONENSE REGIONAL,834,1
10203,Amazonas,Bagua,Copallin,MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA,65,1
10203,Amazonas,Bagua,Copallin,ALIANZA PARA EL PROGRESO,105,1
10203,Amazonas,Bagua,Copallin,FUERZA POPULAR,340,1
10204,Amazonas,Bagua,El Parco,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,212,1
10204,Amazonas,Bagua,El Parco,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,205,1
10204,Amazonas,Bagua,El Parco,SENTIMIENTO AMAZONENSE REGIONAL,307,1
10204,Amazonas,Bagua,El Parco,MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA,113,1
10204,Amazonas,Bagua,El Parco,ALIANZA PARA EL PROGRESO,52,1
10204,Amazonas,Bagua,El Parco,FUERZA POPULAR,166,1
10206,Amazonas,Bagua,Imaza,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,399,1
10206,Amazonas,Bagua,Imaza,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,340,1
10206,Amazonas,Bagua,Imaza,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,472,1
10206,Amazonas,Bagua,Imaza,SENTIMIENTO AMAZONENSE REGIONAL,507,1
10206,Amazonas,Bagua,Imaza,MOVIMIENTO POLITICO REGIONAL ENERGIA COMUNAL AMAZONICA,1205,1
10206,Amazonas,Bagua,Imaza,PODEMOS POR EL PROGRESO DEL PERU,241,0
10206,Amazonas,Bagua,Imaza,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",42,1
10206,Amazonas,Bagua,Imaza,ALIANZA PARA EL PROGRESO,624,1
10206,Amazonas,Bagua,Imaza,FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,205,0
10206,Amazonas,Bagua,Imaza,UNION POR EL PERU,412,0
10206,Amazonas,Bagua,Imaza,FUERZA POPULAR,303,1
10206,Amazonas,Bagua,Imaza,PERU NACION,116,0
10206,Amazonas,Bagua,Imaza,PERUANOS POR EL KAMBIO,370,0
10206,Amazonas,Bagua,Imaza,VAMOS PERU,527,0
10302,Amazonas,Bongará,Corosha,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,160,1
10302,Amazonas,Bongará,Corosha,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,96,1
10302,Amazonas,Bongará,Corosha,SENTIMIENTO AMAZONENSE REGIONAL,160,1
10302,Amazonas,Bongará,Corosha,FUERZA POPULAR,63,1
10303,Amazonas,Bongará,Cuispes,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,187,1
10303,Amazonas,Bongará,Cuispes,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,109,1
10303,Amazonas,Bongará,Cuispes,SENTIMIENTO AMAZONENSE REGIONAL,134,1
10304,Amazonas,Bongará,Chisquilla,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,78,1
10304,Amazonas,Bongará,Chisquilla,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,16,1
10304,Amazonas,Bongará,Chisquilla,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,114,1
10304,Amazonas,Bongará,Chisquilla,SENTIMIENTO AMAZONENSE REGIONAL,65,1
10304,Amazonas,Bongará,Chisquilla,ALIANZA PARA EL PROGRESO,11,1
10304,Amazonas,Bongará,Chisquilla,FUERZA POPULAR,9,1
10305,Amazonas,Bongará,Churuja,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,118,1
10305,Amazonas,Bongará,Churuja,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,82,1
10305,Amazonas,Bongará,Churuja,SENTIMIENTO AMAZONENSE REGIONAL,64,1
10306,Amazonas,Bongará,Florida,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,801,1
10306,Amazonas,Bongará,Florida,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,785,1
10306,Amazonas,Bongará,Florida,SENTIMIENTO AMAZONENSE REGIONAL,939,1
10306,Amazonas,Bongará,Florida,FUERZA POPULAR,35,1
10306,Amazonas,Bongará,Florida,ACCION POPULAR,359,0
10307,Amazonas,Bongará,Recta,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,125,1
10307,Amazonas,Bongará,Recta,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,104,1
10307,Amazonas,Bongará,Recta,SENTIMIENTO AMAZONENSE REGIONAL,35,1
10308,Amazonas,Bongará,San Carlos,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,175,1
10308,Amazonas,Bongará,San Carlos,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,23,1
10308,Amazonas,Bongará,San Carlos,SENTIMIENTO AMAZONENSE REGIONAL,125,1
10309,Amazonas,Bongará,Shipasbamba,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,562,1
10309,Amazonas,Bongará,Shipasbamba,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,144,1
10309,Amazonas,Bongará,Shipasbamba,SENTIMIENTO AMAZONENSE REGIONAL,176,1
10309,Amazonas,Bongará,Shipasbamba,FUERZA POPULAR,93,1
10310,Amazonas,Bongará,Valera,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,256,1
10310,Amazonas,Bongará,Valera,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,78,1
10310,Amazonas,Bongará,Valera,SENTIMIENTO AMAZONENSE REGIONAL,278,1
10311,Amazonas,Bongará,Yambrasbamba,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,1393,1
10311,Amazonas,Bongará,Yambrasbamba,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,187,1
10311,Amazonas,Bongará,Yambrasbamba,SENTIMIENTO AMAZONENSE REGIONAL,1081,1
10311,Amazonas,Bongará,Yambrasbamba,ALIANZA PARA EL PROGRESO,232,1
10311,Amazonas,Bongará,Yambrasbamba,FUERZA POPULAR,224,1
10312,Amazonas,Bongará,Jazan,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,1618,1
10312,Amazonas,Bongará,Jazan,MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO,91,1
10312,Amazonas,Bongará,Jazan,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,1051,1
10312,Amazonas,Bongará,Jazan,SENTIMIENTO AMAZONENSE REGIONAL,842,1
10312,Amazonas,Bongará,Jazan,FUERZA POPULAR,97,1
10402,Amazonas,Luya,Camporredondo,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,1182,1
10402,Amazonas,Luya,Camporredondo,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,974,1
10402,Amazonas,Luya,Camporredondo,SENTIMIENTO AMAZONENSE REGIONAL,961,1
10403,Amazonas,Luya,Cocabamba,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,269,1
10403,Amazonas,Luya,Cocabamba,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,409,1
10403,Amazonas,Luya,Cocabamba,SENTIMIENTO AMAZONENSE REGIONAL,74,1
10403,Amazonas,Luya,Cocabamba,PERUANOS POR EL KAMBIO,182,0
10404,Amazonas,Luya,Colcamar,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,575,1
10404,Amazonas,Luya,Colcamar,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,284,1
10404,Amazonas,Luya,Colcamar,SENTIMIENTO AMAZONENSE REGIONAL,254,1
10404,Amazonas,Luya,Colcamar,ALIANZA PARA EL PROGRESO,87,1
10405,Amazonas,Luya,Conila,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,400,1
10405,Amazonas,Luya,Conila,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,378,1
10405,Amazonas,Luya,Conila,SENTIMIENTO AMAZONENSE REGIONAL,212,1
10405,Amazonas,Luya,Conila,UNION POR EL PERU,94,0
10406,Amazonas,Luya,Inguilpata,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,138,1
10406,Amazonas,Luya,Inguilpata,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,154,1
10406,Amazonas,Luya,Inguilpata,SENTIMIENTO AMAZONENSE REGIONAL,90,1
10407,Amazonas,Luya,Longuita,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,73,1
10407,Amazonas,Luya,Longuita,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,383,1
10407,Amazonas,Luya,Longuita,SENTIMIENTO AMAZONENSE REGIONAL,3,1
10407,Amazonas,Luya,Longuita,ALIANZA PARA EL PROGRESO,117,1
10408,Amazonas,Luya,Lonya Chico,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,158,1
10408,Amazonas,Luya,Lonya Chico,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,76,1
10408,Amazonas,Luya,Lonya Chico,SENTIMIENTO AMAZONENSE REGIONAL,188,1
10408,Amazonas,Luya,Lonya Chico,ALIANZA PARA EL PROGRESO,195,1
10409,Amazonas,Luya,Luya,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,784,1
10409,Amazonas,Luya,Luya,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,470,1
10409,Amazonas,Luya,Luya,SENTIMIENTO AMAZONENSE REGIONAL,361,1
10409,Amazonas,Luya,Luya,ALIANZA PARA EL PROGRESO,258,1
10410,Amazonas,Luya,Luya Viejo,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,94,1
10410,Amazonas,Luya,Luya Viejo,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,81,1
10410,Amazonas,Luya,Luya Viejo,SENTIMIENTO AMAZONENSE REGIONAL,99,1
10411,Amazonas,Luya,María,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,152,1
10411,Amazonas,Luya,María,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,256,1
10411,Amazonas,Luya,María,SENTIMIENTO AMAZONENSE REGIONAL,156,1
10412,Amazonas,Luya,Ocalli,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,333,1
10412,Amazonas,Luya,Ocalli,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,813,1
10412,Amazonas,Luya,Ocalli,SENTIMIENTO AMAZONENSE REGIONAL,483,1
10412,Amazonas,Luya,Ocalli,ALIANZA PARA EL PROGRESO,50,1
10413,Amazonas,Luya,Ocumal,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,117,1
10413,Amazonas,Luya,Ocumal,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,810,1
10413,Amazonas,Luya,Ocumal,SENTIMIENTO AMAZONENSE REGIONAL,708,1
10414,Amazonas,Luya,Pisuquia,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,718,1
10414,Amazonas,Luya,Pisuquia,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,507,1
10414,Amazonas,Luya,Pisuquia,SENTIMIENTO AMAZONENSE REGIONAL,783,1
10414,Amazonas,Luya,Pisuquia,FUERZA POPULAR,110,1
10415,Amazonas,Luya,San Cristóbal,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,146,1
10415,Amazonas,Luya,San Cristóbal,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,89,1
10415,Amazonas,Luya,San Cristóbal,SENTIMIENTO AMAZONENSE REGIONAL,53,1
10415,Amazonas,Luya,San Cristóbal,ALIANZA PARA EL PROGRESO,74,1
10415,Amazonas,Luya,San Cristóbal,UNION POR EL PERU,14,0
10416,Amazonas,Luya,San Francisco del Yeso,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,17,1
10416,Amazonas,Luya,San Francisco del Yeso,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,252,1
10416,Amazonas,Luya,San Francisco del Yeso,SENTIMIENTO AMAZONENSE REGIONAL,185,1
10417,Amazonas,Luya,San Jerónimo,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,121,1
10417,Amazonas,Luya,San Jerónimo,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,115,1
10417,Amazonas,Luya,San Jerónimo,SENTIMIENTO AMAZONENSE REGIONAL,135,1
10417,Amazonas,Luya,San Jerónimo,ALIANZA PARA EL PROGRESO,118,1
10418,Amazonas,Luya,San Juan de Lopecancha,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,125,1
10418,Amazonas,Luya,San Juan de Lopecancha,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,112,1
10418,Amazonas,Luya,San Juan de Lopecancha,SENTIMIENTO AMAZONENSE REGIONAL,68,1
10419,Amazonas,Luya,Santa Catalina,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,256,1
10419,Amazonas,Luya,Santa Catalina,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,281,1
10419,Amazonas,Luya,Santa Catalina,SENTIMIENTO AMAZONENSE REGIONAL,132,1
10419,Amazonas,Luya,Santa Catalina,ALIANZA PARA EL PROGRESO,139,1
10419,Amazonas,Luya,Santa Catalina,FUERZA POPULAR,133,1
10420,Amazonas,Luya,Santo Tomás,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,459,1
10420,Amazonas,Luya,Santo Tomás,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,559,1
10420,Amazonas,Luya,Santo Tomás,SENTIMIENTO AMAZONENSE REGIONAL,309,1
10420,Amazonas,Luya,Santo Tomás,ALIANZA PARA EL PROGRESO,138,1
10421,Amazonas,Luya,Tingo,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,143,1
10421,Amazonas,Luya,Tingo,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,301,1
10421,Amazonas,Luya,Tingo,SENTIMIENTO AMAZONENSE REGIONAL,221,1
10421,Amazonas,Luya,Tingo,ALIANZA PARA EL PROGRESO,73,1
10421,Amazonas,Luya,Tingo,UNION POR EL PERU,112,0
10422,Amazonas,Luya,Trita,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,197,1
10422,Amazonas,Luya,Trita,SENTIMIENTO AMAZONENSE REGIONAL,122,1
10422,Amazonas,Luya,Trita,ALIANZA PARA EL PROGRESO,369,1
10422,Amazonas,Luya,Trita,UNION POR EL PERU,36,0
10423,Amazonas,Luya,Providencia,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,210,1
10423,Amazonas,Luya,Providencia,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,272,1
10423,Amazonas,Luya,Providencia,SENTIMIENTO AMAZONENSE REGIONAL,161,1
10423,Amazonas,Luya,Providencia,ALIANZA PARA EL PROGRESO,94,1
10502,Amazonas,Rodríguez de Mendoza,Cochamal,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,206,1
10502,Amazonas,Rodríguez de Mendoza,Cochamal,SENTIMIENTO AMAZONENSE REGIONAL,209,1
10502,Amazonas,Rodríguez de Mendoza,Cochamal,ALIANZA PARA EL PROGRESO,80,1
10503,Amazonas,Rodríguez de Mendoza,Chirimoto,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,408,1
10503,Amazonas,Rodríguez de Mendoza,Chirimoto,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,9,1
10503,Amazonas,Rodríguez de Mendoza,Chirimoto,SENTIMIENTO AMAZONENSE REGIONAL,529,1
10503,Amazonas,Rodríguez de Mendoza,Chirimoto,ALIANZA PARA EL PROGRESO,104,1
10503,Amazonas,Rodríguez de Mendoza,Chirimoto,FUERZA POPULAR,21,1
10504,Amazonas,Rodríguez de Mendoza,Huambo,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,436,1
10504,Amazonas,Rodríguez de Mendoza,Huambo,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,226,1
10504,Amazonas,Rodríguez de Mendoza,Huambo,SENTIMIENTO AMAZONENSE REGIONAL,887,1
10504,Amazonas,Rodríguez de Mendoza,Huambo,ALIANZA PARA EL PROGRESO,86,1
10505,Amazonas,Rodríguez de Mendoza,Limabamba,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,603,1
10505,Amazonas,Rodríguez de Mendoza,Limabamba,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,330,1
10505,Amazonas,Rodríguez de Mendoza,Limabamba,SENTIMIENTO AMAZONENSE REGIONAL,26,1
10505,Amazonas,Rodríguez de Mendoza,Limabamba,ALIANZA PARA EL PROGRESO,9,1
10506,Amazonas,Rodríguez de Mendoza,Longar,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,155,1
10506,Amazonas,Rodríguez de Mendoza,Longar,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,394,1
10506,Amazonas,Rodríguez de Mendoza,Longar,SENTIMIENTO AMAZONENSE REGIONAL,439,1
10506,Amazonas,Rodríguez de Mendoza,Longar,ALIANZA PARA EL PROGRESO,30,1
10507,Amazonas,Rodríguez de Mendoza,Milpuc,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,156,1
10507,Amazonas,Rodríguez de Mendoza,Milpuc,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,76,1
10507,Amazonas,Rodríguez de Mendoza,Milpuc,SENTIMIENTO AMAZONENSE REGIONAL,208,1
10508,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,665,1
10508,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,50,1
10508,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,SENTIMIENTO AMAZONENSE REGIONAL,462,1
10509,Amazonas,Rodríguez de Mendoza,Omia,MOVIMIENTO REGIONAL FUERZA AMAZONENSE,991,1
10509,Amazonas,Rodríguez de Mendoza,Omia,MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS,483,1
10509,Amazonas,Rodríguez de Mendoza,Omia,SENTIMIENTO AMAZONENSE REGIONAL,719,1
