model,variable,coef,se,pvalue,nobs,r2
m1,Intercept,0.22410380288891205,0.00301637306083243,0.0,51862,0.00950519803514227
m1,position,-0.013821575444591349,0.0006175782195015205,6.125431145515982e-111,51862,0.00950519803514227
m2,Intercept,0.3487985200807704,0.0015414356977591574,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10103],-0.10965929686876386,0.0006262082522251524,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10104],-0.020440662575626704,3.913801576762071e-05,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10105],-0.10142544355477119,0.0004619928014672005,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10106],-0.1397174734274616,0.0008402965435771495,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10107],-0.019534499289609927,0.00012945651368453852,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10108],-0.139448980602024,0.00086705757999787,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10109],-0.15897866952766912,0.0013021402366241042,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10110],-0.0736848518685123,0.0009616769587668973,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10111],-0.11932137674057268,0.0005659959202785614,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10112],-0.1258907122104822,0.0007418159295549951,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10113],-0.10010738786603356,0.000593365162070456,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10114],-0.06770813084185072,0.00024591983994573285,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10115],-0.06503733378834266,0.0005121217285386571,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10116],0.023360757230249184,4.472916086695838e-05,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10117],-0.07958785841737481,0.00037331645805719504,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10118],-0.03719725197422856,0.00020118002673672315,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10119],0.022842949638229273,9.633973110449911e-05,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10120],-0.14511342329711194,0.0009616769587667164,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10121],0.022325142046220443,0.00014795030134240233,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10201],-0.17167639694496123,0.0014550132919213914,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10202],-0.17970418832488735,0.0014691808994372803,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10203],-0.17549429081369272,0.0014932658322158081,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10204],-0.12589071221048853,0.0007418159295544069,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10206],-0.20891136925188042,0.00299834691446514,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10302],-0.13334881154574046,0.0007651597874762533,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10303],-0.07958785841738972,0.000373316458058043,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10304],-0.06770813084183555,0.0002459198399445501,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10305],-0.054105694297488544,0.0001445095966703744,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10306],-0.1651370806790242,0.001190698864197526,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10307],0.16570009249540116,9.633973110430612e-05,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10308],-0.05370295505924607,0.00018465115130084772,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10309],-0.13918048777651804,0.0008938186164169947,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10310],-0.12647065671344446,0.0006840120908881793,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10311],-0.13944898060203442,0.0008670575799977777,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10312],-0.16559016232204898,0.0011455396152383458,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10402],-0.12618068446202443,0.0007129140102216389,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10403],-0.09171700361203414,0.00035095187762146867,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10404],-0.12502079545593717,0.0008285216875545555,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10405],-0.10902892240881834,0.000689038511640572,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10406],-0.09137179855068085,0.00038535892444629033,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10407],-0.05410569429748442,0.00014450959667098096,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10408],-0.06770813084186078,0.00024591983994376996,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10409],-0.10934410963881308,0.0006576233819314365,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10410],0.022325142046215874,0.00014795030134189465,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10411],-0.11060485855848985,0.0005319628630922961,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10412],-0.11932137674055888,0.0005659959202777796,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10413],-0.03847654131920685,7.367155908968883e-05,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10414],-0.15013723869287948,0.0010746863108394861,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10415],-0.16084945824721272,0.0011156762409275014,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10416],-0.09102659348936742,0.00041976597127276274,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10417],-0.08031278904621242,0.00030106165972455914,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10418],-0.053702955059268434,0.00018465115129974132,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10419],-0.13390645049094405,0.000709579173374463,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10420],-0.15088716692968082,0.00099993996773746,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10421],-0.07584238350188618,0.0007466329161106511,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10422],-0.09068138842799517,0.000454173018096622,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10423],-0.03762368175594195,0.0001586772041858906,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10502],-0.06732658840571575,0.00028394868117381566,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10503],-0.15088716692969326,0.0009999399677345982,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10504],-0.15013723869294912,0.0010746863108391604,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10505],-0.06770813084186228,0.00024591983994461277,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10506],-0.03847654131919256,7.367155908974945e-05,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10507],0.022325142046227594,0.00014795030134262253,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10508],-0.037623681755901126,0.0001586772041869429,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10509],-0.16445745821447144,0.001258437737632897,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10510],-0.0009665741712883225,9.633973110489349e-05,1.0917587588399437e-23,51862,0.03235977514465849
m2,C(ubigeo)[T.10511],0.04975783816546593,0.00015192034520772842,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10512],-0.10010738786602989,0.0005933651620709141,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10602],-0.21010633187707003,0.0025105000518787102,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10603],-0.1947125873074898,0.0019508795549897722,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10702],-0.20666460163047679,0.0024546970263563993,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10703],0.04273668896727141,0.0012392792683777788,1.3409296280127333e-260,51862,0.03235977514465849
m2,C(ubigeo)[T.10704],-0.18843621270026495,0.0016637130487923639,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10705],-0.15113714300852388,0.0009750245200352746,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10706],-0.10965929686876377,0.0006262082522225172,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.10707],-0.17970418832486762,0.0014691808994385278,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20102],-0.21149386892797567,0.003082871395534833,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20103],-0.12972415840173687,0.0011264337791409484,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20104],0.025431987598200253,0.00016171312008361372,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20105],-0.15921251811761633,0.001278832237161741,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20106],-0.10902892240880203,0.0006890385116436472,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20107],-0.15013723869295018,0.0010746863108388157,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20108],0.06946108089719884,0.0018119280197335524,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20109],-0.1635512949285067,0.0013487562355496154,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20110],-0.17316890118077188,0.0013062534130012275,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20111],-0.18601977727103214,0.0019045623765689573,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20112],-0.19475562220798154,0.0022225351921319014,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20203],-0.15874482093781225,0.0013254482360873618,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20205],-0.07922539310299123,0.0004094438572241308,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20206],-0.15410120243358075,0.00125241650443907,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20208],-0.16083280507050915,0.0016197117292987373,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20302],-0.03847654131916327,7.367155909057195e-05,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20304],-0.14304219292918732,0.0011681192397205071,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20305],-0.1589786695277186,0.0013021402366250765,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20310],-0.15410120243356543,0.0012524165044386416,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20311],-0.12473082320438303,0.0008574236068868415,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20313],0.16570009249540146,9.633973110485567e-05,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20315],-0.11418645145308157,0.0010778007418029956,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20317],-0.020893744218625464,6.021233189035796e-06,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20320],-0.10076641571043979,0.0005276789817696106,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20321],-0.1407120587651257,0.0014003668057871838,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20322],0.13799404691607992,7.367155909068054e-05,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20323],0.09769923869606392,0.0007929500945275185,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20324],0.047043235497390104,0.0005358897543067198,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20325],-0.14459561570512325,0.0010132875290050165,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20402],-0.1721028267265635,0.0014125104693724472,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20403],-0.13111825576492706,0.0009874822438872316,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20404],0.09049214341517323,0.0009999399677355937,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20405],-0.12676062896499105,0.000655110171556397,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20406],-0.1813353974447729,0.0016807377414021778,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20407],-0.16806646746522688,0.0013706516289834737,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20408],-0.1712499671632752,0.0014975161144698285,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20409],-0.16468399903598988,0.0012358581131543481,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20410],-0.18769269410666628,0.0017378205342633657,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20411],-0.1528929847189491,0.0013728411683252347,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20502],-0.19195094681672015,0.002226135929588245,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20503],-0.20863736324481083,0.0024614801298722543,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20505],-0.20416388264584415,0.0022711579163920905,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20602],0.21803373414514718,0.00041747216813944166,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20603],-0.10934410963869291,0.000657623381930117,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20604],-0.09944836002157978,0.0006590513423709373,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20605],-0.07958785841742473,0.0003733164580591889,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20606],-0.01953449928952367,0.00012945651368631065,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20607],0.0829708680192836,3.6127399160672344e-05,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20702],-0.017964196161144887,0.0007651597874765887,6.892298129559691e-122,51862,0.03235977514465849
m2,C(ubigeo)[T.20703],-0.15506777660530172,0.0011560767733293823,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20704],-0.0384765413191952,7.367155908973528e-05,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20705],-0.16872549530963016,0.0013049654486795017,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20706],-0.18536077928845213,0.001633972544757605,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20707],-0.1928139594700656,0.002140118312526649,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20708],0.060383977207039,0.0021553214262400276,1.0307283957373407e-172,51862,0.03235977514465849
m2,C(ubigeo)[T.20709],-0.15265134117592302,0.0013969261011038071,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20710],-0.15851097234795533,0.0013487562355483692,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20802],-0.16332475410693684,0.0013713358600271298,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20803],-0.18900184989800675,0.0019267946222123408,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20804],-0.1451134232970871,0.0009616769587668479,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20805],-0.16196550917801808,0.001506813606902501,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20806],-0.07958785841732736,0.0003733164580572762,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20807],-0.14330109672502572,0.00114231395459965,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20808],0.03527203045038084,0.0015612703482920471,5.208492678886176e-113,51862,0.03235977514465849
m2,C(ubigeo)[T.20809],-0.1682861434132966,0.0013487562355486051,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20810],-0.1440778081131066,0.0010648980992420745,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20811],-0.1267606289650685,0.0006551101715558881,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20812],0.0065847865454640615,0.0006563144181941528,1.0917587059186463e-23,51862,0.03235977514465849
m2,C(ubigeo)[T.20813],-0.22642786912099147,0.0029883843515653105,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20814],-0.16061560965732893,0.001138984240387618,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20815],-0.12328096194675894,0.001001933203552366,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20816],-0.18251096062659047,0.0015635677981601036,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20902],-0.08999097830529446,0.0005229871117478239,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20903],-0.10934410963876182,0.0006576233819324697,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20904],-0.09944836002166477,0.0006590513423728905,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20905],-0.11479056031054463,0.0010175884098586284,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20906],-0.16850581936148623,0.0013268608421155902,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20907],-0.06618196109694278,0.0003980352048562376,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.20908],-0.0886101580600802,0.0006606152990505121,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21002],-0.1330699920731001,0.0007929500945289055,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21003],-0.17549429081372578,0.001493265832214664,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21004],-0.11060485855844646,0.0005319628630919882,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21005],-0.09171700361202755,0.00035095187762144997,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21006],-0.1093441096387607,0.0006576233819320642,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21007],0.051988393946511544,7.040211120114181e-05,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21008],-0.17167639694496684,0.0014550132919215403,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21009],-0.10010738786603243,0.0005933651620703295,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21010],-0.054105694297509825,0.00014450959666976172,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21011],-0.08067525436059818,0.00026493426055677335,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21102],-0.1765299059976944,0.0013900446917374817,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21103],-0.17748912251468404,0.0016899594498976215,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21104],-0.16131715542717615,0.0010690602420083907,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21202],-0.1014254435548083,0.0004619928014659306,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21203],-0.10335555227036233,0.0012545108464191248,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21204],-0.06694504596945097,0.0003219775224002254,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21205],-0.0799503237317932,0.00033718905889123314,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21206],-0.18750681445824008,0.0017563474056305913,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21207],-0.10681009962284137,0.0012197298099561604,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21208],-0.16491053985744344,0.001213278488675974,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21209],-0.11871726788323424,0.0006262082522224055,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21210],-0.16894517125773983,0.001283070055246611,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21302],-0.1962795136265621,0.002334048940085554,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21303],-0.19229615187806762,0.0021917288827650386,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21304],-0.17970418832496107,0.0014691808994370253,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21305],-0.21597108481444743,0.003105295298468101,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21306],-0.17445867562972206,0.0015964869726899445,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21307],-0.20733248811298147,0.002591538766871272,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21308],-0.1899080131839752,0.0018364761242914013,0.0,51862,0.03235977514465849
m2,C(ubigeo)[T.21309],-0.23416561014140902,0.003239423458586382,0.0,51862,0.03235977514465849
